title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
River peak in Rockhampton still to come,Josh Bavas (Reporter); Tony Eastley,2011-01-03,ABC Radio. AM,An increasing number of roads around Rockhampton are under water as the river levels near their peak The major routes to North Queensland have been cut off Currently the town is being supplied by a,Rockhampton;  Brad Carter;  floods;  evacuations;  Tanya Hallam;  Bruce Channells;  Kayleen Rabnot;  Depot Hill; Disasters and Accidents Disasters and Accidents -- Floods,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2010/s3105219.htm,http://trove.nla.gov.au/version/204824099
Republicans 'playing chicken' on economy,Craig McMurtrie (Reporter); Tony Eastley,2011-01-03,ABC Radio. AM,With the US Congress set to resume in three days Republicans are talking tough about increasing the US government debt limit But one of Barack Obamas senior economic advisors is warning that the co,Congress;  Barack Obama;  Tea Party;  Bill Kristol;  Fox News;  Mike Kelly;  Michele Bachmann;  Austan Goolsbee; Government and Politics Government and Politics -- World Politics,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2010/s3105222.htm,http://trove.nla.gov.au/version/204824101
Israel's first kibbutz celebrates a century,Anne Barker (Reporter); Tony Eastley,2011-01-03,ABC Radio. AM,The kibbutz has been a quintessential part of Israeli life for decades The first one has just turned 100 years old But the demands and trends of modern life have seen many kibbutzim close,kibbutz;  Degania;  Shai Shoshany;  Hanaton;  Israel;  Jonny Whine; Community and Society Community and Society -- Community Organisations,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2010/s3105235.htm,http://trove.nla.gov.au/version/204824103
Beekeeper anger over access to forests,Jacqueline Street (Reporter); Tony Eastley,2011-01-03,ABC Radio. AM,Beekeepers say theyre a vital part of Australias agricultural industry and they need access to native forests to rest their bees and make honey But they say state governments are progressively shut,bees;  Beekeepers Association;  Trevor Weatherhead;  Australian Honey Bees Association;  Lindsay Bourke;  Julian Wolfhagen;  Tasmanian Beekeepers Association;  Elwyne Papworth;  Victorian Apiarists Association; Science and Technology Science and Technology -- Animals Science and Technology -- Animals -- Invertebrates - Insects and Arachnids,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2010/s3105270.htm,http://trove.nla.gov.au/version/204824105
Preparations as floods rise in Rockhampton,David Mark (Reporter); Tony Eastley,2011-01-03,ABC Radio. AM,The flooding in Queensland is now covering an area as big as New South Wales Residents in Rockhampton are preparing for the flood peak to hit there in the coming days The Red Cross is making plans t,Peter Baddiley;  Flood Warning Centre;  Bureau of Meteorology;  Mackenzie;  Dawson;  Fitzroy River;  Australian Red Cross;  Greg Goebel;  Ian Stewart;  Queensland Police;  Surat;  St George;  Central Highlands;  Peter Maguire;  Balonne; Disasters and Accidents Disasters and Accidents -- Floods,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2010/s3105215.htm,http://trove.nla.gov.au/version/204824098
Mixed messages from North Korea,Mark Willacy (Reporter); Tony Eastley,2011-01-03,ABC Radio. AM,Pyongyang has used its first news broadcast of 2011 to call for improved relations with the South and defused tensions But North Korean media has warned that if a war breaks out it will bring nothin,Kim Jong-il;  north korea;  south korea;  tensions;  news broadcast;  Kim Jong-un;  Lee Myung-bak; Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2010/s3105240.htm,http://trove.nla.gov.au/version/204824100
Pakistani politics in chaos after coalition split,Sally Sara (Reporter); Tony Eastley,2011-01-03,ABC Radio. AM,Pakistans political scene has been thrown into chaos after the ruling coalitions second-largest party quit the government The Muttahida Quami Movement has withdrawn its support and abandoned talks,Muttahida Quami Movement;  Asif Ali Zardari;  Pakistan;  Yousuf Raza Gilani;  Nawaz Sharif; Government and Politics Government and Politics -- World Politics,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2010/s3105229.htm,http://trove.nla.gov.au/version/204824102
Beach rescues on the increase in Victoria,Rachel Carbonell (Reporter); Tony Eastley,2011-01-03,ABC Radio. AM,Surf Life Saving Victoria says there were more than 160 beach rescues over the last week about five times as many as there were during the same time last year Theyre concerned that swimmers arent,Life Saving Victoria;  Maryanne Sonnemann;  Gunnamatta Beach;  beach rescue;  Kennett River;  Lorne; Health Health -- safety,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2010/s3105221.htm,http://trove.nla.gov.au/version/204824104
Rockhampton isolated,Josh Bavas (Reporter); Tony Eastley,2011-01-04,ABC Radio. AM,Rockhampton is for all intents and purposes isolated as floodwaters cut off most of the citys roads The Bruce Highway to the north is allowing some traffic but there are fears it may be cut as well,Queensland floods;  natural disaster;  emergency;  Rockhampton;  residents; Disasters and Accidents -- Floods,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2010/s3105795.htm,http://trove.nla.gov.au/version/204824091
WikiLeaks show Australia considered whaling compromise,Timothy McDonald (Reporter); Tony Eastley,2011-01-04,ABC Radio. AM,US diplomatic cables released by WikiLeaks show that the Australian Government was willing to accept a compromise on whaling with Japan as recently as February last year At the time the Government w,whaling;  peter garrett;  greg hunt;  environment;  antarctica;  united states;  japan;  wikileaks; Environment -- Conservation -- Whaling,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2010/s3105859.htm,http://trove.nla.gov.au/version/204824093
