title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Sounds of Summer: Intrigue and heartbreak in cycling,James Panichi (Reporter); Elizabeth Jackson,2011-01-10,ABC Radio. The World Today,Its been described as the most successful piece of locally designed sporting technology since the winged keel of Australia 2 stole the Americas Cup back in the early 1980s Yet very few people outsi,Leontien Zijlaard;  cycling;  elliot flyer;  Michelle Ferris;  Bike Technologies;  Gary Sutton;  Anna Meares;  Blade;  Nathan Corrigan;  Stealth;  Gary West;  Cycling Australia;  Australian Sports Commission;  Koga-Miyata;  Wouter Jager;  Lloyd Pope;  Australian Institute of Sport;  RMIT University;  Barton Pope;  DS; Sport Sport -- Cycling,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2011/s3109543.htm,http://trove.nla.gov.au/version/205999169
Sounds of Summer: Deadly legacy of US cluster bombs in Loas,Joanna McCarthy (Reporter); Elizabeth Jackson,2011-01-11,ABC Radio. The World Today,It was called Americas Secret War Between 1964 to 1973 the US dropped 260 million cluster submunitions on Laos in a covert mission to destroy North Vietnamese supply lines Not only did the mission,loas;  cluster bombs;  LATSAMY ;  HOLLY MILLER;  IAN HOLLAND;  Dr Mark Zirnsak; Government and Politics -- Foreign Affairs,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2011/s3111191.htm,http://trove.nla.gov.au/version/205999167
Sounds of Summer: The pursuit of silence,Corinne Podger (Reporter); Elizabeth Jackson,2011-01-12,ABC Radio. The World Today,Today were quietening the mind Were in pursuit of silence and listening for meaning in a world of noise thats the evocative title of a new book by writer and journalist George Prochnik George fl,silence;  george prochnik; Science and Technology -- Psychology,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2011/s3111255.htm,http://trove.nla.gov.au/version/205999166
Sounds of Summer: Prison mums,Lindy Kerin (Reporter); Elizabeth Jackson,2011-01-13,ABC Radio. The World Today,Jail is no place for children Thats what opponents say about programs in prisons across Australia which allows mothers to have their children in custody with them But supporters say that its in th,emu plains correctional facility;  women;  prisons;  children; Community and Society -- Family and Children Community and Society -- Women Law; Crime and Justice -- Prisons and Punishment,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2011/s3112009.htm,http://trove.nla.gov.au/version/205999165
Christmas message,The World Today team (Reporter); ,2011-01-14,ABC Radio. The World Today,The World Today would like the thank our online audience for its participation throughout 2010 and wish all a very merry Christmas and festive holiday season Over the break we will be airing our So,; Event,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2011/s3112894.htm,http://trove.nla.gov.au/version/205999164
Sounds of Summer: Forest Deal,Felicity Ogilvie (Reporter); Elizabeth Jackson,2011-01-14,ABC Radio. The World Today,After 30 years of hostility environmentalists and loggers have finally smoked the peace pipe Theyve done a deal which should end large scale native forest logging But the biggest player in the Tasm,; ,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2011/s3112883.htm,http://trove.nla.gov.au/version/205999163
Sounds of Summer: Marine Parks,Liv Casben (Reporter); Elizabeth Jackson,2011-01-17,ABC Radio. The World Today,The Year 2011 is shaping up to be the year of the marine park The Federal Government is set to introduce a network of marine reserves across Commonwealth waters in the hope of preserving Australias,; Environment Environment -- Conservation Environment -- Conservation -- Marine Parks,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2011/s3114292.htm,http://trove.nla.gov.au/version/205999162
Sounds of Summer: Aceh's natural disaster reconstruction effort,Jennifer Macey (Reporter); Elizabeth Jackson,2011-01-18,ABC Radio. The World Today,Indonesia is no stranger to natural disasters The recent eruption of Mt Merapi near Yogyakarta in November killed 350 people and left nearly 400 000 homeless Many international aid agencies are sti,aceh;  banda aceh; Business; Economics and Finance -- International Aid and Trade Disasters and Accidents -- Relief and Aid Organisations,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2011/s3115378.htm,http://trove.nla.gov.au/version/205999161
Sounds of Summer: Domestic violence,Philippa McDonald (Reporter); Elizabeth Jackson,2011-01-19,ABC Radio. The World Today,One in three Australian women say theyve suffered domestic violence at least once and for some its been a life changing experience which has seen them flee the family home But a new program which i,domestic violence;  Department of Community Services ;  CAROLINE LONG;  ANNA BUTLER;  Staying Home Leaving Violence;  ROBYN EDWARDS;  Social Policy Research Centre; Community and Society -- Domestic Violence,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2011/s3116204.htm,http://trove.nla.gov.au/version/205999160
Sounds of Summer: Tonga's path to democracy,Bruce Hill (Reporter); Elizabeth Jackson,2011-01-20,ABC Radio. The World Today,Its the only Pacific island nation never to have been formally colonised although it was a British protectorate at one time Because of emigration there are now more Tongans living outside the King,tonga;  KING GEORGE TUPOU V;  ALISI TAUMOEPEAU;  POSISI BLOOMFIELD;  AKILISI POHIVA;  CLIVE EDWARDS;  VIKA KAUFUSI;  SIONE UTUKOLO;  SIFA TU'UTAFAIVA;  TEISONA FUKO;  SIONE FONUA;  VILLIAMI TAUFA; Government and Politics -- World Politics,Australian Broadcasting Corporation,Copyright 2011 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2011/s3117251.htm,http://trove.nla.gov.au/version/205999159
