title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Extreme fire conditions likely to return: Koperberg,Karen Barlow (Reporter); Tony Eastley,2006-01-02,ABC Radio. AM,For a while Australia was lucky and escaped the ravages of the summer bushfire but the menace returned yesterday with a vengeance aided and abetted by scorching heat and high winds The worst of the,Bushfire;  Rural Fire Commissioner;  Phil Koperberg;  firefighters; Disasters and Accidents -- Fires -- Bushfire,Australian Broadcasting Corporation,Copyright 2006 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2005/s1540468.htm,http://trove.nla.gov.au/version/205225573
"Fire evacuees take refuge in pubs, clubs",Brendan Trembath (Reporter); Tony Eastley,2006-01-02,ABC Radio. AM,In the bushfire ravaged regions clubs pubs and community centres are now serving as safe havens for many people forced from their homes Some evacuees have nowhere else to go simply because theyve,Evacuees;  Everglades Country Club;  John McGoldrick;  Woy Woy Leagues Club;  john gatt;  Ettalong Beach War;  Nick Cashing;  bushfire;  Matt Jones; Disasters and Accidents -- Fires -- Bushfire,Australian Broadcasting Corporation,Copyright 2006 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2005/s1540469.htm,http://trove.nla.gov.au/version/205225574
Israel continues Gaza bombardment,Matt Brown (Reporter); Tony Eastley,2006-01-02,ABC Radio. AM,Israels military is continuing its operation codenamed Blue Skies as it clears a new security buffer zone in northern Gaza It follows a series of Palestinian rocket attacks on Israeli territory,Mahmoud Abbas;  Palestinian Authority;  Palestinian Authority;  Kassam rockets;  Blue Skies;  Blue Skies;  rocket attacks;  Beit Lahiya;  Israeli artillery;  no-man's land;  lawlessness;  Palestinian President; Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2006 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2005/s1540471.htm,http://trove.nla.gov.au/version/205225576
New effort to stamp out Chinese corruption,John Taylor (Reporter); Tony Eastley,2006-01-02,ABC Radio. AM,The Chinese Government is beginning the New Year with a new effort to stamp out corruption Its set up a website for the public to blow the whistle on lawbreakers But it isnt expected to bring real,Corruption;  Chinese Government;  lawbreakers;  media;  Communist Government;  Ministry of Supervision;  Li Xinde;  freelance journalist;  Central Commission for Discipline Inspection;  political reform;  rule of law; Government and Politics -- Forms of Government -- Communism Government and Politics -- World Politics,Australian Broadcasting Corporation,Copyright 2006 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2005/s1540474.htm,http://trove.nla.gov.au/version/205225578
Ricky Ponting to play 100th Test,Tom Iggulden (Reporter); Tony Eastley,2006-01-02,ABC Radio. AM,He was the kid from the back blocks of Tasmania who overcame the temptations of the bottle and the tote to be elevated to one of Australias greatest positions Ricky Ponting Captain of the Australia,Ricky Ponting;  Captain;  Australian Cricket Team;  Tendulkar;  cricket commentator;  Peter Roebuck;  David Gower;  Michael Clarke;  Mark Waugh;  academy;  working class;  stylist;  quick scoring; Sport -- Cricket,Australian Broadcasting Corporation,Copyright 2006 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2005/s1540476.htm,http://trove.nla.gov.au/version/205225580
Whitlam Cabinet deeply divided,Peta Donald (Reporter); Tony Eastley,2006-01-02,ABC Radio. AM,The short-lived and dramatic era of the Whitlam Government is often remembered for its radical social policies But its now been revealed that some within the Whitlam Cabinet in 1975 were prepared to,John Knott;  Australian National University;  Whitlam Government;  social policies;  Whitlam Cabinet;  Bill Hayden;  Treasurer;  historian;  tertiary fees;  pharmaceutical benefits;  Jim Cairns;  Gough Whitlam; Community and Society -- History -- 20th Century Government and Politics,Australian Broadcasting Corporation,Copyright 2006 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2005/s1540470.htm,http://trove.nla.gov.au/version/205225575
Bush begins year with political hangover,Kim Landers (Reporter); Tony Eastley,2006-01-02,ABC Radio. AM,The US President George W Bush has begun the year grappling with a political hangover from 2005 Hes again staunchly defended a controversial domestic spying program It follows fresh reports that t,political hangover;  US President;  George bush;  domestic spying;  secret surveillance;  Justice Department;  war on terror;  al-Qaeda;  civil liberties;  Attorney-General;  Alberto Gonzales;  Chief-of-Staff;  Andy Card;  John Ashcroft;  National Security Agency;  eavesdropping;  Mitch McConnell;  Charles Schumer;  Bush administration;  Supreme Court nominee;  Samuel Alito;  presidential power;  mid-term elections;  Chairman of the Joint Chiefs of Staff;  General Peter Pace; Government and Politics -- World Politics,Australian Broadcasting Corporation,Copyright 2006 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2005/s1540472.htm,http://trove.nla.gov.au/version/205225577
Johannesburg gets new lease on life,Zoe Daniel (Reporter); Tony Eastley,2006-01-02,ABC Radio. AM,Central Johannesburg which for so long has been a no-go zone because of violent street crime is coming back to life Johannesburg is predicted to become one of the worlds largest cities by 2020 an,street crime;  largest cities;  hillbrow;  slum;  environmental project;  Joubert Park;  Dorah Lebelo;  Dorah Lebelo;  GreenHouse Project;  employment;  Alfonso Botha;  property developer;  security;  Soccer World Cup;  Gauteng Province;  cultural mix;  Brad Holmes; Law; Crime and Justice Community and Society,Australian Broadcasting Corporation,Copyright 2006 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2005/s1540475.htm,http://trove.nla.gov.au/version/205225579
Abortion increases mental health risk: study,Tom Iggulden (Reporter); Tony Eastley,2006-01-03,ABC Radio. AM,New research out today suggests that having an abortion can increase the likelihood of young women later developing some sort of mental health problem The research team based at the School of Medici,Abortion;  mental health;  School of Medicine and Health Sciences;  pregnancy;  David Fergusson;  pro-choice;  research; Health -- Reproduction and Contraception -- Abortion,Australian Broadcasting Corporation,Copyright 2006 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2006/s1540914.htm,http://trove.nla.gov.au/version/205225565
FTA drug safeguard could be scrapped,Peta Donald (Reporter); Tony Eastley,2006-01-03,ABC Radio. AM,One of the most hard fought provisions in Australias Free Trade Agreement with the United States was over conditions which affect the cost of prescription drugs Australias deal with the US is up fo,evergreening amendment;  Free Trade Agreement;  prescription drugs;  drug companies;  extending patents;  Mark Vaile;  Trade Minister;  pharmaceutical companies;  generic brands;  TGA;  Therapeutic Goods Administration;  Pharmaceutical Benefits Scheme;  bushfires; Business;  Economics and Finance -- Industry -- Chemicals and Pharmaceuticals Business; Economics and Finance -- International Aid and Trade Government and Politics -- Federal Government,Australian Broadcasting Corporation,Copyright 2006 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2006/s1540913.htm,http://trove.nla.gov.au/version/205225564
