title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Kim Beazley says he'll be in the Lodge next year,Rebecca Carmody (Reporter); Eleanor Hall,2001-01-22,ABC Radio. The World Today Archive,Its obvious that the perception of Labor being a good fiscal manager will play a big role in whether Kim Beazleys Prime Ministerial aspirations will ever be realised At todays Priorities launch M,prime minister;  kim beazley;  oppostion;  election; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/stories/s236246.htm,http://trove.nla.gov.au/version/205237618
2001 election campaiging begins as PM returns,Alexandra Kirk (Reporter); Eleanor Hall,2001-01-22,ABC Radio. The World Today Archive,2001 the Political New Year has kicked in with a vengeance to-day with both major Party leaders setting out their agenda as we head for multiple State and Federal elections The Prime Minister John,prime minister;  john howard;  kim beazley;  election; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/stories/s236226.htm,http://trove.nla.gov.au/version/205237617
Qld electoral rolls cross-checked,Kirsten Aiken (Reporter); Eleanor Hall,2001-01-22,ABC Radio. The World Today Archive,In Queensland the Electoral Commission is investigating inconsistencies in 850 000 separate enrolments Following the Shepherdson Inquiry into electoral rorting the commission is mailing notices to,shepherdson inquiry;  electoral role;  rorting; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/stories/s236250.htm,http://trove.nla.gov.au/version/205237619
Cricket's credibility on the line with sex for games claims,Luisa Saccotelli (Reporter); Eleanor Hall,2001-01-22,ABC Radio. The World Today Archive,Australian cricket authorities are again embroiled in defending our reputation against scandal A former Pakistani player claims top cricketers were corrupted into throwing matches in exchange for se,cricket;  sport;  scandal;  corruption; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/stories/s236252.htm,http://trove.nla.gov.au/version/205237620
Alcohol and vitamin B1,Rachel Mealey (Reporter); Eleanor Hall,2001-01-22,ABC Radio. The World Today Archive,Researchers in Melbourne have found that Vitamin B-1 or thiamine may prevent brain damage in alcohol dependent people The research team found that intra-muscular injections of the vitamin helped the,alcohol;  thiamine;  vitamin;  memory;  brain damage; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/stories/s236255.htm,http://trove.nla.gov.au/version/205237622
Aldi and Australian supermarkets,Narelle Hooper (Reporter); Eleanor Hall,2001-01-22,ABC Radio. The World Today Archive,After months of speculation secretive cut-price German grocery chain the ALDI Group has confirmed it will open its first two Australian stores on Thursday Aldis new Bankstown and Marrickville store,aldi;  supermarkets; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/stories/s236261.htm,http://trove.nla.gov.au/version/205237624
Climate report: global warming,Eleanor Hall (Reporter); Eleanor Hall,2001-01-22,ABC Radio. The World Today Archive,Theres disturbing new evidence today that humans have dramatically increased the pace of global warming in the last hundred years particularly in the last decade An international team of scientists,global warming; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/stories/s236253.htm,http://trove.nla.gov.au/version/205237621
Jobless statistics methodology questioned,Zoe Daniel (Reporter); Eleanor Hall,2001-01-22,ABC Radio. The World Today Archive,Australias head statistician has acknowledged there are serious questoions being asked about the way unemployment numbers are collated and calculated For instance its been revealed by researchers,jobless;  statistics;  methodology; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/stories/s236260.htm,http://trove.nla.gov.au/version/205237623
Democratic Republic of Congo mourns its former president,Sally Sara (Reporter); Eleanor Hall,2001-01-22,ABC Radio. The World Today Archive,In the Democratic Republic of Congo hundreds of thousands of people have lined the streets to pay their last respects to assassinated President Laurent Kabila Soldiers and civilians cried as the Pres,Democratic Republic of Congo;  kinshasa;  laurent kabila; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/stories/s236271.htm,http://trove.nla.gov.au/version/205237626
New Philippines President,Geoff Thompson (Reporter); Eleanor Hall,2001-01-22,ABC Radio. The World Today Archive,The deposed Philippines President Joseph Estrada is now facing charges of economic plunder and a death sentence after the extraordinary events of the weekend In what was effectively a people power co,phillipines;  joseph estrada;  gloria aroyo; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/stories/s236265.htm,http://trove.nla.gov.au/version/205237625
George W Bush begins his administration,Agnes Cusack (Reporter); Eleanor Hall,2001-01-22,ABC Radio. The World Today Archive,In the United States the new President and First Lady have spent their first full day in the White House After the formal inauguration and a night of parties George W Bush and his wife Laura were f,george w bush;  president;  united states; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/stories/s236278.htm,http://trove.nla.gov.au/version/205237627
