title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Motor vehicle sales boom,Camille Funnell (Reporter); Mark Colvin,2001-01-08,ABC Radio. PM Archive,While retail trade fell sharply last November it was a different story for the car industry Motor vehicles figures for December showed record monthly sales,car sales;  industry;  monthly sales;  figures; Business;  Economics and Finance Business; Economics and Finance -- Economic Trends,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/stories/s231224.htm,http://trove.nla.gov.au/version/205360857
Federal Minister tells Liberals to unite,Mark Willacy (Reporter); Mark Colvin,2001-01-08,ABC Radio. PM Archive,The incoming Workplace Relations Minister Tony Abbott is urging moderates and conservatives within the Liberal Party to avoid picking unnecessary fights with each other in the lead up to this years f,Liberals;  federal election;  workplace relations minister; Government and Politics,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/stories/s231226.htm,http://trove.nla.gov.au/version/205360859
Ansett faces possible grounding,Leigh Sales (Reporter); Mark Colvin,2001-01-08,ABC Radio. PM Archive,It may not be long before we find out why Ansett Airlines missed crucial safety checks on some of its jet fleet last year - a problem that caused the airline to ground six Boeing 767s two days before,Ansett;  grounding;  Boeing 767s;  travel;  plans; Business;  Economics and Finance Business; Economics and Finance -- Industry -- Transport,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/stories/s231230.htm,http://trove.nla.gov.au/version/205360861
Interest rates set to fall as economy slows,Mark Simkin (Reporter); Mark Colvin,2001-01-08,ABC Radio. PM Archive,Figures released today by the Bureau of Statistics show a slump in consumer spending and a weakening labour market,rates;  interest;  banks;  economy;  jobs; Business;  Economics and Finance -- Economic Trends Community and Society -- Unemployment Business; Economics and Finance,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/stories/s231223.htm,http://trove.nla.gov.au/version/205360856
Suicide refocuses attention on Australian detention centres,Luisa Saccotelli (Reporter); Mark Colvin,2001-01-08,ABC Radio. PM Archive,A suicide attempt by a 17-year-old IRAQI asylum seeker has refocused attention on conditions inside Australias detention centres,detention centre;  asylum seekers;  suicide;  conditions; Government and Politics,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/stories/s231225.htm,http://trove.nla.gov.au/version/205360858
Fees for degrees - Academic fraud allegations,Emma Simkin (Reporter); Mark Colvin,2001-01-08,ABC Radio. PM Archive,A report by the Australia Institute has found that financial pressures are forcing university academics into giving full-fee paying students a pass when in fact they deserve a fail mark,fraud;  degrees;  fees;  students;  academic;  fail; Education,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/stories/s231227.htm,http://trove.nla.gov.au/version/205360860
Labor welfare blueprint critcised from within,Mark Willacy (Reporter); Mark Colvin,2001-01-09,ABC Radio. PM Archive,A radical blueprint put forward by a prominent Labor MP for the dismantling of the welfare state has been described as a non-event and irrelevant by one of his colleagues,welfare reform;  blue print;  proposals;  backbencher;  Mark Latham; Government and Politics Community and Society,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/stories/s231650.htm,http://trove.nla.gov.au/version/205360851
SA Bookshop becomes centre of censorship controversy,Emma Simkin (Reporter); Mark Colvin,2001-01-09,ABC Radio. PM Archive,An art book depicting sexual acts has put South Australian police at the centre of a censorship controversy Police acting on a single complaint raided an Adelaide bookstore and seized the criticall,photographs;  censorship;  sex;  South Australian police;  Attorney-General; Arts and Entertainment,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/stories/s231670.htm,http://trove.nla.gov.au/version/205360853
Dental patients face more than a toothache,Mark Simkin (Reporter); Mark Colvin,2001-01-09,ABC Radio. PM Archive,A trip to the dentist could be about to become even more painful and all because of an obscure metal called palladium,dentist;  metal;  palladium;  price;  alloys;  patient;  expense; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/stories/s231669.htm,http://trove.nla.gov.au/version/205360855
Welfare groups greet reform ideas with caution,Leigh Sales (Reporter); Mark Colvin,2001-01-09,ABC Radio. PM Archive,Mark Lathams ideas have been greeted with caution by those who work on the frontline in social services,welfare reform;  blue print;  proposals;  backbencher;  Mark Latham; Community and Society Government and Politics,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/stories/s231651.htm,http://trove.nla.gov.au/version/205360852
