title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
2001 expected to be tough for business,Emma Simkin (Reporter); Peter Cave,2001-01-02,ABC Radio. AM Archive,Well the coming year for business is expected to be more difficult than necessary The Australian Chamber of Commerce and Industry says careful management is needed to tackle the looming economic dow,commerce;  economic downturn; Business;  Economics and Finance -- Economic Trends Business; Economics and Finance,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s229045.htm,http://trove.nla.gov.au/version/206950236
Toyota develops a car that runs on hydrogen,Peter Martin (Reporter); Peter Cave,2001-01-02,ABC Radio. AM Archive,As the 21st Century begins could petrol be on the way out?,hydrogen powered car;  Toyota;  Japan;  General motors; Science and Technology Business; Economics and Finance -- Industry -- Transport,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s229042.htm,http://trove.nla.gov.au/version/206950234
Yasser Arafat continues peace talks with Clinton,Michael Carey (Reporter); Peter Cave,2001-01-02,ABC Radio. AM Archive,Its just been confirmed that Palestinian leader Yasser Arafat is to travel to the United States for talks with President Bill Clinton in an effort to salvage the Middle East peace process,Yasser Arafat;  Clinton;  Middle East ;  Peace talks; ; Government and Politics,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s229043.htm,http://trove.nla.gov.au/version/206950235
Nursing homes accredited under new rules,Camille Funnell (Reporter); Peter Cave,2001-01-02,ABC Radio. AM Archive,The Federal Opposition has accused the Government of going soft on Australias nursing homes in the wake of findings that all but 21 of the countries 2 000-plus homes have passed accreditation,nursing homes ;  aged care; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s229022.htm,http://trove.nla.gov.au/version/206950232
Australia is NOT becoming a fairer nation,John Stewart (Reporter); Peter Cave,2001-01-02,ABC Radio. AM Archive,With the start of this years Federation celebrations much is being said about Australia as an egalitarian nation,Australia; egalitarian;  Fair; Community and Society -- Ethics,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s229041.htm,http://trove.nla.gov.au/version/206950233
RACQ considers claiming compensation from BP after changes to diesel,John Taylor (Reporter); Peter Cave,2001-01-02,ABC Radio. AM Archive,The Royal Automobile Club of Queensland is contemplating fighting for compensation from multi-national BP after it changed the composition of its diesel fuel,RACQ;  diesel composition;  Business; Economics and Finance -- Industry -- Transport,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s229038.htm,http://trove.nla.gov.au/version/206950230
20 injured in Israel bomb blast,Jane Hutcheon (Reporter); Peter Cave,2001-01-02,ABC Radio. AM Archive,In the Middle East at least 20 people have been injured one seriously in a bomb blast in the resort town of Natanya north of Israels second largest city Tel Aviv,Israel;  Middle East;  bombing;  Tel Aviv; Arts and Entertainment -- Events,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s229009.htm,http://trove.nla.gov.au/version/206950228
Australian digital TV broadcasts are second rate,Peter Cave,2001-01-02,ABC Radio. AM Archive,After years of debate power-broking and deal-making in the corridors of power Australia finally has digital television,Digital TV;  Richard Alston;  Jock Given;  Kim Anderson; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s229018.htm,http://trove.nla.gov.au/version/206950231
More murder victims found near Rockhampton,Ian Townsend (Reporter); Peter Cave,2001-01-02,ABC Radio. AM Archive,Police in Central Queensland are studying the files of several missing women after finding two bodies in a shallow grave near the city of Rockhampton,murder victims;  Rockhampton;  Serial killings; Arts and Entertainment -- Events,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s229016.htm,http://trove.nla.gov.au/version/206950229
Airline Competition,Zoe Daniel (Reporter); Peter Cave,2001-01-03,ABC Radio. AM Archive,The ACCC is under pressure to stop Ansett swallowing up one of the countrys largest regional airlines to maintain competition in the sky and on the ground,Ansett;  competition;  airlines;  Impulse;  Virgin; Lifestyle and Leisure -- Travel and Tourism,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s229295.htm,http://trove.nla.gov.au/version/206950226
Australia requests access to Laos Gaol,Ian Townsend (Reporter); Peter Cave,2001-01-03,ABC Radio. AM Archive,The Australian Embassy in Laos will today make a formal approach to the Laos Government to request regular access to an Australian couple being held in a local gaol,Loas Gaol;  Australians;  Gemstone smuggling; Law; Crime and Justice -- Laws Arts and Entertainment -- Events,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s229285.htm,http://trove.nla.gov.au/version/206950224
Private nursing homes shift beds to the city for profit,Mark Willacy (Reporter); Peter Cave,2001-01-03,ABC Radio. AM Archive,Church groups have hit out at the hard governments Aged Care Policy warning that private nursing home operators are buying up beds in regional areas and shifting them to the cities to make more mone,nursing homes;  regional health; ; Government and Politics,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s229278.htm,http://trove.nla.gov.au/version/206950220
