title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Alexander Downer Interview,Eleanor Hall,2003-01-02,ABC Radio. AM Archive,Foreign Minister Alexander Downer discusses the response to Cyclone Zoe and the Australian role in resolving the North Korea crisis,solomon islands;  cyclone;  zoe;  alexander downer;  north korea; Government and Politics -- Foreign Affairs,Australian Broadcasting Corporation,Copyright 2004 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s756729.htm,http://trove.nla.gov.au/version/205217850
Williams lashes out at refugee advocates,Louise Yaxley (Reporter); Eleanor Hall,2003-01-02,ABC Radio. AM Archive,The acting Immigration Minister Daryl Williams has attacked refugee advocates accusing them of encouraging the detention centre riots,sylum seekers;  detention centres;  refugees;  daryl williams; Community and Society -- Immigration Disasters and Accidents -- Fires Law; Crime and Justice -- Crime,Australian Broadcasting Corporation,Copyright 2004 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s756769.htm,http://trove.nla.gov.au/version/205217853
People smuggler released,Tim Palmer (Reporter); Eleanor Hall,2003-01-02,ABC Radio. AM Archive,The man alleged to have organised the voyage of the unseaworthy SIEV X in which more than 350 people died is now out of his Indonesian jail and hoping to return home to Egypt within days,asylum seekers;  refugees;  people smuggler;  abu quassey;  indonesia;  siev x; Community and Society -- Immigration Disasters and Accidents,Australian Broadcasting Corporation,Copyright 2004 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s756770.htm,http://trove.nla.gov.au/version/205217854
Israel on alert for missile strikes,Sally Sara (Reporter); Eleanor Hall,2003-01-02,ABC Radio. AM Archive,As the United States continues its military build-up in the Persian Gulf Israels defence forces have been put on alert for possible missile strikes from Iraq,israel;  missiles;  iraq;  gulf war;  gili shenhar; ,Australian Broadcasting Corporation,Copyright 2004 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s756786.htm,http://trove.nla.gov.au/version/205217855
Cyclone Zoe causes devastation in Solomon Islands,Tanya Nolan (Reporter); Eleanor Hall,2003-01-02,ABC Radio. AM Archive,There is uncertainty over the fate of about 2000 residents of three tiny isolated islands in the Solomon Islands archipelago Tikopia Anuta and Fatutaka have been cut off for five days and no rescue,solomon islands;  alan march;  phillip walker;  tikopia;  anuta;  cyclone;  zoe;  geoff mackley; Disasters and Accidents -- Storm Disasters and Accidents -- Cyclones,Australian Broadcasting Corporation,Copyright 2004 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s756601.htm,http://trove.nla.gov.au/version/205217849
Inside Villawood Detention Centre,Jo Mazzocchi (Reporter); Eleanor Hall,2003-01-02,ABC Radio. AM Archive,An Iranian asylum seeker in Villawood Detention Centre says those being kept at Villawood for removal have nothing to lose,villawood;  asylum seekers;  detention centres;  amere mesrinejad; Community and Society -- Immigration Disasters and Accidents -- Fires Community and Society -- Discrimination,Australian Broadcasting Corporation,Copyright 2004 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s756742.htm,http://trove.nla.gov.au/version/205217852
Brothel to list on stock exchange,Stephen Long (Reporter); Eleanor Hall,2003-01-02,ABC Radio. AM Archive,The Daily Planet brothel at Elsternwick a suburb of Melbourne intends to list on the stock exchange,stock exchange;  brothel;  daily planet; Business; Economics and Finance -- Small Business,Australian Broadcasting Corporation,Copyright 2004 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s756792.htm,http://trove.nla.gov.au/version/205217856
Asylum seekers transferred,Nance Haxton (Reporter); Eleanor Hall,2003-01-02,ABC Radio. AM Archive,Unrest in detention centres across the country has escalated with Baxter Woomera Port Hedland and the detention centres at Christmas Island and Villawood in Sydney now all subject to Australian Fed,asylum seekers;  refugees;  detention centres;  baxter;  woomera;  fire; Law;  Crime and Justice -- Rights Law; Crime and Justice -- Prisons and Punishment Disasters and Accidents -- Fires,Australian Broadcasting Corporation,Copyright 2004 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s756694.htm,http://trove.nla.gov.au/version/205217851
No immediate end to drought,Angus Grigg (Reporter); Linda Mottram,2003-01-02,ABC Radio. AM Archive,There has been good rain in many parts of the country over the last few days but an end to the drought is still some way off The medium term forecast suggests a breaking of the El Nino cycle towards,waether;  drought;  el nino;  peter corrish;  lindsay gilbert; Weather,Australian Broadcasting Corporation,Copyright 2004 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s756796.htm,http://trove.nla.gov.au/version/205217857
Still no contact with cyclone survivors,Nick Grimm (Reporter); Eleanor Hall,2003-01-03,ABC Radio. AM Archive,Six days after a cyclone of massive force hit two remote islands in the Solomon Islands there is still no contact with survivors Aerial surveillance is generating conflicting reports about how seri,cyclone;  solomon islands;  alan march;  loti yates;  herman oberli;  disaster relief; Weather -- Cyclone,Australian Broadcasting Corporation,Copyright 2004 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s757081.htm,http://trove.nla.gov.au/version/205217841
