title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Premiers' wishlist for 2008,Jennifer Macey (Reporter); Eleanor Hall,2008-01-01,ABC Radio. AM,The premiers and chief ministers say 2008 will bring a new year for federal-state cooperation which will lead to improvements in education health and long-term water solutions,Education;  health;  premiers;  Mike Rann;  climate change;  Murray-Darling River system;  John Brumby;  Murray-Darling Basin Commission;  Morris Iemma;  Alan Carpenter;  Anna Bligh;  Paul Henderson; Government and Politics -- Federal - State Issues Government and Politics -- States and Territories,Australian Broadcasting Corporation,Copyright 2008 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s2129710.htm,http://trove.nla.gov.au/version/205230869
Haneef has 'strong case' for compensation,Nicole Butler (Reporter); Eleanor Hall,2008-01-01,ABC Radio. AM,Lawyers for former terrorism suspect Dr Mohamed Haneef are calling for an urgent review of his case and they say the Indian doctor is well placed to demand a generous compensation payout from the Comm,Mohamed Haneef;  immigration;  Kevin Andrews;  Peter Faris;  Australian Council for Civil Liberties;  Terry O'Gorman;  Australian Law Council;  Kevin Rudd;  Peter Russo; Law;  Crime and Justice -- Courts and Trials Unrest; Conflict and War -- Terrorism,Australian Broadcasting Corporation,Copyright 2008 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s2129711.htm,http://trove.nla.gov.au/version/205230870
'Daring' foreign policy changes under Rudd Govt: analyst,Eleanor Hall (Reporter); Eleanor Hall,2008-01-01,ABC Radio. AM,Michael Fullilove the director of the Global Issues program at the Lowy Institute believes the Rudd Government will make some daring changes to Australias foreign policy He says Kevin Rudd wont wan,Michael Fullilove;  Lowy Institute;  foreign policy;  Pakistan;  Rudd Government;  climate change;  US alliance;  RAMSI; Government and Politics -- Foreign Affairs,Australian Broadcasting Corporation,Copyright 2008 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s2129714.htm,http://trove.nla.gov.au/version/205230872
Republicans distance themselves from Bush administration,Michael Rowland (Reporter); Eleanor Hall,2008-01-01,ABC Radio. AM,The race for the White House will gather pace this month with the the pivotal Iowa caucuses later this week Senator Hillary Clinton is in a tense three-way race for the Democrat nomination while th,Iowa caucuses;  James Thurber;  Hillary Clinton;  Barack Obama;  John Edward;  Mitt Romney;  Mike Huckabee;  John McCain;  Rudy Giuliani;  George W. Bush; Government and Politics -- Elections,Australian Broadcasting Corporation,Copyright 2008 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s2129716.htm,http://trove.nla.gov.au/version/205230874
Pakistan elections in doubt,Karen Percy (Reporter); Eleanor Hall,2008-01-01,ABC Radio. AM,Pakistans Election Commission is still to decide whether Pakistanis will go to the polls as planned on January 8th The violence that has swept the country since the assassination of Opposition leade,Benazir Bhutto;  Pakistan Peoples Party;  elections;  Rawalpindi;  Election Commission of Pakistan; Government and Politics -- Elections,Australian Broadcasting Corporation,Copyright 2008 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s2129712.htm,http://trove.nla.gov.au/version/205230871
Violent clashes continue in Kenya,Lindy Kerin (Reporter); Eleanor Hall,2008-01-01,ABC Radio. AM,The violence which has erupted in response to the disputed re-election of the Kenyan President Mwai Kibaki has now killed more than 185 people The 76-year-old was officially sworn in for a second ter,Kenya;  violence;  Mwai Kibaki;  vote-rigging;  Rift Valley;  Raila Odinga;  Alfred Matua; Government and Politics,Australian Broadcasting Corporation,Copyright 2008 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s2129715.htm,http://trove.nla.gov.au/version/205230873
New charter for human rights in Victoria,Daniel Hoare (Reporter); Eleanor Hall,2008-01-01,ABC Radio. AM,From today Victorian citizens will have basic human rights like freedom of speech and freedom of religion protected under a new charter The Victorian Government says it hopes its charter of human r,human rights;  freedom of speech;  freedom of religion;  freedom;  respect;  equality;  dignity;  Rob Hulls;  Mirko Bagaric;  Deakin University; Law; Crime and Justice -- Rights -- Human,Australian Broadcasting Corporation,Copyright 2008 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s2129717.htm,http://trove.nla.gov.au/version/205230875
A 'perfect storm' of cliches and overused words,Simon Lauder (Reporter); Eleanor Hall,2008-01-01,ABC Radio. AM,A group of word watchers from the United States says there were plenty of misused overused and useless words in 2007 and its trying to stop them being used any more in 2008,Journalists;  cliches;  Kate Burridge;  Monash University;  Lake Superior University; Education -- Subjects -- Languages Information and Communication -- Journalism,Australian Broadcasting Corporation,Copyright 2008 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s2129718.htm,http://trove.nla.gov.au/version/205230876
Civil war fears after church burning,Andrew Geoghegan (Reporter); Brendan Trembath,2008-01-02,ABC Radio. AM,The post-election riots in Kenya have gone from bad to worse with violence claiming as many as 300 lives In the west of the country up to 50 people mostly children were burned to death when a mob s,Richard Dowden;  Raila Odinga;  Amos Kimunya;  Alexander Graf Lambsdorff;  Jackson Nyanga;  Mwai Kibaki; ; Community and Society -- Death Community and Society -- Race Relations Government and Politics -- Activism and Lobbying Government and Politics -- Elections,Australian Broadcasting Corporation,Copyright 2008 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s2130120.htm,http://trove.nla.gov.au/version/205230860
Early poll 'looks impossible' in Pakistan: election commission,Karen Percy (Reporter); Brendan Trembath,2008-01-02,ABC Radio. AM,Despite calls by opposition parties for the ballot to go ahead Pakistans election slated for January could be delayed after the election commission admitted an an early poll looks impossible,poll;  Hamid Nawaz;  Benazir Bhutto;  pervez musharraf;  bullet wound;  interior ministry; ; Community and Society -- Death Government and Politics -- Activism and Lobbying Government and Politics -- Elections Government and Politics -- Federal Government,Australian Broadcasting Corporation,Copyright 2008 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s2130131.htm,http://trove.nla.gov.au/version/205230862
White House hopefuls campaign in Iowa,Kim Landers (Reporter); Brendan Trembath,2008-01-02,ABC Radio. AM,Presidential hopefuls in the United States have rung in the new year in the key state of Iowa Correspondent Kim Landers speaks to voters who will be the first to weigh in on who should be the Democra,hillary clinton;  barack obama;  Tyler Rausch;  Iowa; ; Government and Politics -- Activism and Lobbying Government and Politics -- Elections Government and Politics -- Federal Government Government and Politics -- World Politics,Australian Broadcasting Corporation,Copyright 2008 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s2130148.htm,http://trove.nla.gov.au/version/205230864
Australian trapped in Kenyan home,Lindy Kerin (Reporter); Brendan Trembath,2008-01-02,ABC Radio. AM,Michael Hawthorne is an Australian man living in a Kenyan town where dozens have been killed Hes been stuck in his house since Thursday and he says the situation is dire,Michael Hawthorne;  Raila Odinga;  Mwai Kibaki; ; Community and Society -- Death Community and Society -- Race Relations Government and Politics -- Activism and Lobbying Government and Politics -- Elections,Australian Broadcasting Corporation,Copyright 2008 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s2130124.htm,http://trove.nla.gov.au/version/205230861
Labor to manage dud frigates as best they can: Fitzgibbon,Alexandra Kirk (Reporter); Brendan Trembath,2008-01-02,ABC Radio. AM,Defence Minister Joel Fitzgibbon says theres a high level of concern among the ranks of sailors assigned to the Adelaide class guided frigate fleet The problems with the ships are reportedly so bad,joel fitzgibbon;  Adelaide class frigates;  defence spending; ; Business; Economics and Finance -- Industry -- Defence and Aerospace Industries Defence and National Security -- Defence Forces Defence and National Security -- Defence Forces -- Navy Government and Politics -- Federal Government,Australian Broadcasting Corporation,Copyright 2008 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s2130137.htm,http://trove.nla.gov.au/version/205230863
Controversy dogs dementia patient tracking tags,Stephanie Kennedy (Reporter); Brendan Trembath,2008-01-02,ABC Radio. AM,Britains Alzheimers Society is supporting a controversial plan to use electronic tagging to track down dementia sufferers who wander from their homes But critics say the plan will restrict civil li,Alzheimer's Society;  Richard Nicholson;  Marilyn Loveday;  Andrew Ketteringham;  dementia patients;  tracking;  Institute of Human Rights;  Katie Ghose; ; Community and Society -- Ethics Health -- Diseases and Disorders -- Alzheimer's and Dementia Health -- Ethics,Australian Broadcasting Corporation,Copyright 2008 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s2130159.htm,http://trove.nla.gov.au/version/205230865
Coral may head south,Simon Lauder (Reporter); Brendan Trembath,2008-01-02,ABC Radio. AM,While scientists have warned that global warming could devastate Australias coral reefs theres now evidence coral may be able to migrate to cooler waters After analysing fossils from a warm period,coral;  migration;  Acropora;  Leeuwin Current;  John Pandolfi; ; Community and Society -- Globalisation Environment -- Conservation Environment -- Conservation -- Marine Parks Environment -- Oceans and Reefs,Australian Broadcasting Corporation,Copyright 2008 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2007/s2130195.htm,http://trove.nla.gov.au/version/205230867
