title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Peter Dutton under fire for sending offensive text message to journalist,Francis Keany (reporter); Samantha Donovan (compere),2016-01-04,ABC Radio. The World Today,Colleagues of the Immigration Minister Peter Dutton admit an offensive text message he sent to a press gallery journalist was unfortunate,Peter Dutton; Jamie Briggs; CPSU; Samantha Maiden; mobile phone; Government and Politics,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4381771.htm,http://trove.nla.gov.au/version/222124866
Domestic violence support service preparing for increased caseload in 2016,Bridget Brennan (reporter); Samantha Donovan (compere),2016-01-04,ABC Radio. The World Today,A New South Wales legal aid service for women is bracing for a busy start to 2016 as most courts are about to resume sittings after the holiday break In the last six months the Womens Domestic Viol,domestic violence; court; legal; Community and Society--Domestic Violence,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4381739.htm,http://trove.nla.gov.au/version/222124868
Tensions between Saudi Arabia and Iran escalate after execution of Shia cleric,Sarah Sedghi (reporter); Samantha Donovan (compere),2016-01-04,ABC Radio. The World Today,Iranian protestors have set fires in the Saudi embassy in Tehran and the countrys supreme leader says Saudi Arabia will face divine vengeance after it executed a prominent Shia cleric at the weeken,"Saudi Arabia; Iran; execution; Sheikh Nimr al-Nimr; Saudi embassy; Professor Amin Saikal; Unrest, Conflict and War",Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4381774.htm,http://trove.nla.gov.au/version/222124867
Victorian Coroner puts quit-smoking drug under spotlight,Simon Lauder (reporter); Samantha Donovan (compere),2016-01-04,ABC Radio. The World Today,The use of anti-smoking drug Champix by people who kill themselves will now be closely monitored by forensic scientists in Victoria Its part of an effort to determine whether theres any link betwee,champix; varenicline; dimitri gerostamoulos; Health--Smoking,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4381779.htm,http://trove.nla.gov.au/version/222124870
Website security switchover raises concerns of 'mini Y2K',Joanna Lester (reporter); Samantha Donovan (compere),2016-01-04,ABC Radio. The World Today,From this month websites and apps will have to start adhering to new security certification standards to minimise the risk of hacking but some experts believe the industry is underprepared for the t,internet; cyberspace; cyber crime; hacking; security; technology; computing; Google; science; Science and Technology--Computers and Technology--Hacking,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4381735.htm,http://trove.nla.gov.au/version/222124872
Home prices head into reverse late in 2015,Michael Janda (reporter); Samantha Donovan (compere),2016-01-04,ABC Radio. The World Today,After surging for most of 2015 Sydney and Melbourne home prices went into decline in the final quarter of the year Data by CoreLogic RP Data show that Perth and Darwin were the nations weakest real,"home prices; real estate; CoreLogic; RP Data; property; investor; Business, Economics and Finance--Industry--Housing",Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4381786.htm,http://trove.nla.gov.au/version/222124869
Rain brings some relief to Queensland farmers,Connie Agius (reporter); Samantha Donovan (compere),2016-01-04,ABC Radio. The World Today,Parts of Queensland have had more than a 100 millimetres of rain since Boxing Day Its brought some much needed relief to farmers in those areas of the drought-stricken state The change of fortune c,Agforce; Russell lethbridge; Peter hall; Queensland; rain; Weather--Rainfall,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4381781.htm,http://trove.nla.gov.au/version/222124871
Liberal MP Sharman Stone calls for quota system to ensure more women are elected to Parliament,Stephanie Anderson (reporter); Samantha Donovan (compere),2016-01-05,ABC Radio. The World Today,Liberal MP Sharman Stone has criticised former minister Jamie Briggs for his behaviour amid calls to increase the representation of women in Federal Parliament,Jamie Briggs; women; Senators; quota; Community and Society--Discrimination,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4382341.htm,http://trove.nla.gov.au/version/222126101
Chris Gayle stops short of apologising for propositioning female reporter,Lucy Carter (reporter); Samantha Donovan (compere),2016-01-05,ABC Radio. The World Today,West Indian batsman Chris Gayle will be sanctioned by his club for his on-air propositioning of Channel 10 sports reporter Mel McLaughlin during last nights Big Bash League match in Hobart He stoppe,sexism; feminism; cricket; sport; big bash league; chris gayle; Tracy Holmes; Community and Society--Discrimination,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4382340.htm,http://trove.nla.gov.au/version/222126100
SA community left reeling after apparent murder-suicide,Natalie Whiting (reporter); Samantha Donovan (compere),2016-01-05,ABC Radio. The World Today,In South Australia the regional community of Port Lincoln is in shock after a man drove off a wharf killing himself and his two young children The bodies of Damien Little and his sons were retrieved,murder suicide; Damien Little; Bruce Green; crime; wharf; community; trauma; Community and Society--Death,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4382343.htm,http://trove.nla.gov.au/version/222126102
US President Obama to use executive authority for new gun control measures,Sarah Sedghi (reporter); Samantha Donovan (compere),2016-01-05,ABC Radio. The World Today,The US President has today held a meeting with the Attorney General and FBI director on tightening gun controls using his executive authority New measures to be announced tomorrow are expected to inc,"gun control; gun violence; President Obama; Barack Obama; executive authority; US Constitution; Loretta Lynch; Law, Crime and Justice--Rights",Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4382344.htm,http://trove.nla.gov.au/version/222126103
Hoverboard house fire prompts tougher ACCC safety advice,Tom Nightingale (reporter); Samantha Donovan (compere),2016-01-05,ABC Radio. The World Today,A fire sparked by a motorised self-balancing scooter known as a hoverboard has severely damaged a house in Melbournes west Australian authorities are considering tougher action on the products and,hoverboards; fire; ACCC; ban; advice; safety; electrical; Rod East; Delia Rickard; Ash Ibraheim; Strathmore; Disasters and Accidents--Fires,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4382349.htm,http://trove.nla.gov.au/version/222126105
NSW Opposition calls for parliamentary inquiry into music festival drug use,Meredith Griffiths (reporter); Samantha Donovan (compere),2016-01-05,ABC Radio. The World Today,The New South Wales Government has left open the option of a parliamentary inquiry into drugs at festivals The State Opposition made the call after a young woman was taken to hospital for a suspected,drugs; music festivals; NSW Labor acting leader Linda Burney; pill testing; Australian Drug Law Reform Foundation; Alex Wodak; Community and Society--Drugs and Substance Abuse,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4382345.htm,http://trove.nla.gov.au/version/222126104
"Tasmanian pinball and jukebox king retires, selling the lot",Karen Michelmore (reporter); Samantha Donovan (compere),2016-01-05,ABC Radio. The World Today,Tasmanian pinball and jukebox king Erwin Boot is retiring and he’s putting his entire collection up for sale,pinball; jukebox; music; entertainment; video games; arcade; Erwin Boot; Tasmania; Arts and Entertainment--Games,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4382351.htm,http://trove.nla.gov.au/version/222126106
Barack Obama introduces executive actions to stop gun violence despite lack of cooperation from Congress or Repuplican cadidates,Michael Vincent (reporter); Samantha Donovan (compere),2016-01-06,ABC Radio. The World Today,The US President Barack Obama has delivered an impassioned speech calling on Americans to make gun control an issue in the Presidential and Congressional elections He attacked Congress the gun lobby,gun laws; United States; Barack Obama; Congress; second amendment; rights; Sandy Hook; Government and Politics--World Politics,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4383932.htm,http://trove.nla.gov.au/version/222190060
NSW rain and floods hit state's Hunter region,Lucy Carter (reporter); Samantha Donovan (compere),2016-01-06,ABC Radio. The World Today,First today to New South Wales and large parts of the state are experiencing a third day of heavy rain Flooding in the states Hunter region a couple of hours drive north of the capital is causing,flood; weather; rain; newcastle; hunter; Bureau of Meteorology; State Emergency Service; Disasters and Accidents--Floods,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4383936.htm,http://trove.nla.gov.au/version/222190059
Cancer groups concerned at impact of budget cuts for pap smear tests,Francis Keany (reporter); Samantha Donovan (compere),2016-01-06,ABC Radio. The World Today,Cancer groups have expressed concern that pathologists could pass on additional costs to test pap smears as part of cuts by the Federal Government,cancer; pap smear; pathology; MYEFO; budget; Sussan Ley; Health--Health Policy,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4383938.htm,http://trove.nla.gov.au/version/222190062
Ninety women attacked on New Years Eve in Cologne,Meredith Griffiths (reporter); Samantha Donovan (compere),2016-01-06,ABC Radio. The World Today,An unprecedented crime wave in the German city of Cologne on New Years Eve has sparked protests for a crackdown on violence against women About 90 women reported being robbed threatened or sexually,Germany; Cologne; crime; sexual assaults; molested; Michael Temme; Justice Minister Heiko Mass; immigration; refugees; integration; ,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4383933.htm,http://trove.nla.gov.au/version/222190061
Bio-sensor mouse could detect spread of pancreatic cancer,Connie Agius (reporter); Samantha Donovan (compere),2016-01-06,ABC Radio. The World Today,Researchers have created what they call a bio-sensor mouse that allowed them to watch pancreatic cancer cells as they start to spread from the primary tumour They could then treat cancer cells with,pancreatic cancer; Paul Timpson; doctor; Garvan Institute of Medical Research; cancer; cells; research; Health--Diseases and Disorders--Cancer,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4383939.htm,http://trove.nla.gov.au/version/222190063
Festival celebrating the life and music of Elvis Presley begins today in Parkes New South Wales,Kia Handley (reporter); Samantha Donovan (compere),2016-01-06,ABC Radio. The World Today,The 24th Elvis Festival kicks off today in Parkes Elvis impersonators fans and curious onlookers from across Australia and the world will be there,Elvis Presley; rock and roll; Parkes; festival; Arts and Entertainment--Music,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4383941.htm,http://trove.nla.gov.au/version/222190065
'Food poisoning' helps goannas survive invading cane-toad,Anthony Stewart (reporter); Samantha Donovan (compere),2016-01-06,ABC Radio. The World Today,In the far north of Western Australia wild goannas have been successfully trained to avoid eating invading cane-toads by feeding them baby toads The research published in the Royal Societys Biology,cane-toad; goannas; conservation; western australia; environment; science; Science and Technology--Animals,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4383945.htm,http://trove.nla.gov.au/version/222190064
North Korean nuclear test harming chances of enforcing nuclear test ban treaty,Lucy Carter (reporter); Samantha Donovan (compere),2016-01-07,ABC Radio. The World Today,Doubts are growing over whether North Korea did actually explode a hydrogen bomb are growing What does seem certain however is that the underground detonation was a nuclear test of some type by the,nuclear; North Korea; Kim Jong Un; hydrogen bomb; Julie Bishop; Tilman Ruff; Environment--Nuclear Issues,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4384484.htm,http://trove.nla.gov.au/version/222214816
MSF pull out of some reception centres in Sicily,Connie Agius (reporter); Samantha Donovan (compere),2016-01-07,ABC Radio. The World Today,The humanitarian aid organisation Medecins sans Frontieres has announced it will stop delivering medical services at some asylum seeker reception centres in Sicily They say the conditions in the cent,Medecins sans Frontieres; MSF; Pozzallo; Sicily; Italy; Mafia Capitale; Mafia; organised crime; Ramzi Harrabi; Council of Migrants; reception centres; migration; Community and Society--Immigration,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4384492.htm,http://trove.nla.gov.au/version/222214818
Thousands evacuated as out of control bushfire threatens towns in Western Australia,Anthony Stewart (reporter); Samantha Donovan (compere),2016-01-07,ABC Radio. The World Today,Aerial water-bombers and more than 100 fire fighters are battling to defend homes from a bush-fire burning out of control south of Perth Thousands of residents in the small towns of Waroona Hamel a,fires; bushfires; western australia; waroona; hamel; preston beach; ,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4384503.htm,http://trove.nla.gov.au/version/222214815
Cologne mayor ridiculed for advising women to keep men at an arm's length to prevent assaults,Christine Kearney (reporter); Samantha Donovan (compere),2016-01-07,ABC Radio. The World Today,In Germany the mayor of the city of Cologne is facing widespread criticism for comments shes made after allegations scores of women were attacked on New Years Eve More than 90 women have told poli,germany; sexual assault; robbery; henriette reker; cologne; twitter; social media; feminism; women's rights; immigration; Ralf Jaeger; Health--Women's Health,Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4384488.htm,http://trove.nla.gov.au/version/222214817
Backyard astronomer makes big discovery,Simon Lauder (reporter); Samantha Donovan (compere),2016-01-07,ABC Radio. The World Today,An amateur has proved that you dont have to be an expert to do some heavy lifting in the world of astronomy Michael Sidonio discovered a galaxy from a backyard near Canberra,michael sidonio; NGC 253-dw2; galaxy; astronomy; space; Science and Technology--Astronomy (Space),Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4384496.htm,http://trove.nla.gov.au/version/222214820
Englishman accused of attempting to smuggle Afghan migrant child to face trial,Imogen Brennan (reporter); Samantha Donovan (compere),2016-01-07,ABC Radio. The World Today,An English man will face trial in France next week accused of attempting to smuggle a migrant child into the UK The former soldier says he acted out of compassion for the young girl and her family w,"law; United Kingdom; Afghanistan; Law, Crime and Justice",Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4384493.htm,http://trove.nla.gov.au/version/222214819
"Over 10,000 species of fly including mosquitoes",Karen Michelmore (reporter); Samantha Donovan (compere),2016-01-07,ABC Radio. The World Today,A Queensland scientist is trying to change the image of the much-maligned Australian fly The insect is considered an annoying pest to most but entomologist Dr Maggie Hardy says not all flies are bad,"flies; science; animals; dr maggie hardy,; Science and Technology--Animals--Invertebrates - Insects and Arachnids",Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4384501.htm,http://trove.nla.gov.au/version/222214821
More than 500 criminal complaints reported after New Year's eve attacks in Germany,Sarah Sedghi (reporter); Brendan Trembath (compere),2016-01-11,ABC Radio. The World Today,Police in Germany say they are now investigating more than 500 criminal complaints related to the assaults and thefts in the German city of Cologne on New Years Eve The German Justice Minister has t,"Cologne; Germany; assaults; New Year's eve; Angela Merkel; migration; immigration; Pegida; asylum seekers; Law, Crime and Justice--Crime--Assault",Australian Broadcasting Corporation,,http://www.abc.net.au/worldtoday/content/2015/s4386350.htm,http://trove.nla.gov.au/version/222406289
