title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
What matters most when we are dying?,Eleanor Hall (reporter); Eleanor Hall (compere),2015-01-01,ABC Radio. PM,Questions about what matters most when we are dying and whether medicine can give us what we need are concerns that Boston surgeon Dr Atul Gawande has wrestled with for more than a decade as hes dea,Health,Australian Broadcasting Corporation,,http://www.abc.net.au/pm/content/2014/s4156476.htm,http://trove.nla.gov.au/version/210492617
Happy New Year from the PM team,,2015-01-02,ABC Radio. PM,Mark and the rest of the PM team wish all our listeners a Happy New Year PM will return with a 20 minute program on the 5th of January and were back with our full edition on the 19th of January Unt,Information and Communication--Journalism,Australian Broadcasting Corporation,,http://www.abc.net.au/pm/content/2014/s4153720.htm,http://trove.nla.gov.au/version/210475662
The Diggers that wanted Gallipoli remembered but not glorified,Eleanor Hall (reporter); Eleanor Hall (compere),2015-01-02,ABC Radio. PM,As Australia commemorates the centenary of World War I and the Federal Government joins yet another campaign in Iraq Dr Jonathan King says he is trying to honour the soldiers who fought on the Galli,Jonathan King; Gallipoli; World War One; mythology; war; history; Community and Society--History--World War 1,Australian Broadcasting Corporation,,http://www.abc.net.au/pm/content/2014/s4156809.htm,http://trove.nla.gov.au/version/210506726
Over 700 fire-fighters battling Adelaide blaze burning out of control,Natalie Whiting (reporter); Samantha Donovan (compere),2015-01-05,ABC Radio. PM,Twenty-six homes have been destroyed or badly damaged by a bushfire in South Australia and the number is expected to rise Specialist teams assessing the damage have checked about a third of the fire,bushfire; South Australia; fire; Adelaide; Jay Weatherill; Travis Kilesky; Greg Nettleton; Gary Burns; Disasters and Accidents--Fires--Bushfire,Australian Broadcasting Corporation,,http://www.abc.net.au/pm/content/2014/s4157779.htm,http://trove.nla.gov.au/version/210509349
Fruit picking workers allegedly underpaid and mistreated in Victoria,Bridget Brennan (reporter); Samantha Donovan (compere),2015-01-05,ABC Radio. PM,The Fair Work Ombudsman is concerned many foreign backpackers doing seasonal fruit picking work are being exploited and mistreated by local employers A Victorian operator is being investigated for al,fruit; picking; pickers; backpackers; Mildura; workers; Community and Society--Work,Australian Broadcasting Corporation,,http://www.abc.net.au/pm/content/2014/s4157788.htm,http://trove.nla.gov.au/version/210509351
Torres Strait Islands under threat by rising seas,Nance Haxton (reporter); Samantha Donovan (compere),2015-01-05,ABC Radio. PM,Rising seas around the Torres Strait Islands mean that some of the region could become uninhabitable in a few decades Fresh water supply and housing are also threatened in the short term,rising sea levels; Torres Strait Islands; Joseph Elu; Environment--Climate Change,Australian Broadcasting Corporation,,http://www.abc.net.au/pm/content/2014/s4157847.htm,http://trove.nla.gov.au/version/210509353
North Korea infuriated by further US sanctions,Deborah Cornwall (reporter); Samantha Donovan (compere),2015-01-05,ABC Radio. PM,North Korea has issued an angry response to the United States decision to impose more sanctions on the hermit Kingdom The new sanctions are a direct retailiation for the recent cyber attack on Sony P,North Korea; United States; sanctions; cyber attack; Sony Pictures; The Interview; Kim Jong-un; aid funding; Government and Politics--World Politics,Australian Broadcasting Corporation,,http://www.abc.net.au/pm/content/2014/s4157789.htm,http://trove.nla.gov.au/version/210509355
Documentary Special: Quentin Bryce looks into the failure of domestic violence policies,Stephanie Smail (reporter); Eleanor Hall (compere),2015-01-05,ABC Radio. PM,Only a few months ago Dame Quentin Bryce was Australias governor-general During her long and varied career she has juggled great responsibility often with a focus on the rights of women and childre,domestic violence; Quentin Bryce; Diane Mangan; Noelene Beutel; Rhonda Ziebell; Suzanne Utai; Tanya Schott; Tim Mowle; Tania Nelson; Darren Carnes; Debbie Platz; Community and Society--Domestic Violence,Australian Broadcasting Corporation,,http://www.abc.net.au/pm/content/2014/s4157861.htm,http://trove.nla.gov.au/version/210509356
Government backbencher Dan Tehan reignites GST debate,Naomi Woodley (reporter); Samantha Donovan (compere),2015-01-05,ABC Radio. PM,The Victorian Liberal backbencher Dan Tehan has called on his Government to develop a policy to broaden the base of the GST ahead of the next election Mr Tehan says voters should have the final say,tax; goods and services tax; GST; government; politics; economy; Dan Tehan; Josh Frydenberg; Tony Burke; Government and Politics--Tax,Australian Broadcasting Corporation,,http://www.abc.net.au/pm/content/2014/s4157786.htm,http://trove.nla.gov.au/version/210509350
Syrian asylum seekers face new restrictions on entering Lebanon,Sarah Sedghi (reporter); Samantha Donovan (compere),2015-01-05,ABC Radio. PM,Asylum seekers leaving Syria to reach Lebanon face new restrictions and will as of today have to apply for and pay for a visa Lebanon is supporting more than 1 million Syrian refugees but have been,Syria; Lebanon; refugees; asylum seekers; Dr Anthony Billingsley; Save The Children; Syrian war; visa; migration; Community and Society--Immigration--Refugees,Australian Broadcasting Corporation,,http://www.abc.net.au/pm/content/2014/s4157787.htm,http://trove.nla.gov.au/version/210509352
