title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Cabinet papers show concern about asbestos known in 1968,"{u'type': u'reporter', u'value': u'Lexi Metherell'}; {u'type': u'compere', u'value': u'Simon Santow'}",2015-01-01,ABC Radio. AM,Cabinet minutes have also revealed the Hawke governments deliberations over the emerging issue of asbestos in Canberra and New South Wales in 1988 The newly released documents show the government wa,cabinet papers; asbestos; Mr Fluffy; Fluffy Owners and Residents' Action Group; Brianna Heseltine; Health--Asbestos,Australian Broadcasting Corporation,,http://www.abc.net.au/am/content/2014/s4156395.htm,http://trove.nla.gov.au/version/210492079
Cabinet papers from late 1980s reveal insights into cold war thinking,"{u'type': u'reporter', u'value': u'Andrew Greene'}; {u'type': u'compere', u'value': u'Simon Santow'}",2015-01-01,ABC Radio. AM,The Soviet Unions spying on Australias embassy in Moscow has been revealed in newly de-classified cabinet papers from the late 1980s Thousands of previously top secret records of the Hawke governme,Cabinet papers; Bob Hawke; Cold War; greenhouse effect; Putin; Defence and National Security--Security Intelligence,Australian Broadcasting Corporation,,http://www.abc.net.au/am/content/2014/s4156392.htm,http://trove.nla.gov.au/version/210492078
Anxious wait for Greste and family as Egypt court prepares to hear appeal,"{u'type': u'reporter', u'value': u'Matt Brown'}; {u'type': u'compere', u'value': u'Simon Santow'}",2015-01-01,ABC Radio. AM,A court in Egypt is set to hear an appeal to the convictions of Peter Greste and his two Al Jazeera colleagues Baher Mohammed and Mohammed Fahmy Peter Grestes parents Lois and Juris have travelled,"Peter Greste; Al Jazeera; Egypt; Muslim Brotherhood; Law, Crime and Justice--Courts and Trials",Australian Broadcasting Corporation,,http://www.abc.net.au/am/content/2014/s4156396.htm,http://trove.nla.gov.au/version/210492081
Bad weather hampers search for AirAsia Flight QZ8501,"{u'type': u'reporter', u'value': u'Michael Edwards'}; {u'type': u'compere', u'value': u'Simon Santow'}",2015-01-01,ABC Radio. AM,Indonesian rescuers say theyve located the wreck of a crashed AirAsia plane on the ocean floor off Borneo Ships and planes have been scouring the Java Sea for Flight QZ8501 since Sunday when it los,airasia flight qz8501; surabaya; neil hansford; aviation disasters; indonesia; iriyanto; Disasters and Accidents--Accidents--Air and Space,Australian Broadcasting Corporation,,http://www.abc.net.au/am/content/2014/s4156394.htm,http://trove.nla.gov.au/version/210492080
Palestine seeks to join International Criminal Court,"{u'type': u'reporter', u'value': u'Sarah Sedghi'}; {u'type': u'compere', u'value': u'Simon Santow'}",2015-01-01,ABC Radio. AM,Palestine has signed papers to join the International Criminal Court despite some international opposition It comes just a day after a failed UN resolution calling for the end of occupation of Pales,Palestine; Israel; ICC; UN; United States; Mahmoud Abbas; International Criminal Court; Government and Politics--World Politics,Australian Broadcasting Corporation,,http://www.abc.net.au/am/content/2014/s4156398.htm,http://trove.nla.gov.au/version/210492083
Praise for Australia's two year stint on UN Security Council,"{u'type': u'reporter', u'value': u'Lisa Millar'}; {u'type': u'compere', u'value': u'Simon Santow'}",2015-01-01,ABC Radio. AM,After two turmultuous years Australia has wrapped up its term on the Security Council at the United Nations and attracted high praise for having the most impact of any temporary member on the Securit,"Security Council; UN; Middle East; Gary Quinlan; Mark Lyall Grant; Ukraine; Syria,; Government and Politics--World Politics",Australian Broadcasting Corporation,,http://www.abc.net.au/am/content/2014/s4156397.htm,http://trove.nla.gov.au/version/210492082
'Shambolic' testing of ebola workers returning to UK,"{u'type': u'reporter', u'value': u'Philip Williams'}; {u'type': u'compere', u'value': u'Simon Santow'}",2015-01-01,ABC Radio. AM,Health authorities in the UK are facing tough questions after a nurse returning from working with Ebola patients in Sierra Leone was diagnosed with the deadly disease despite being cleared of any inf,Pauline Cafferkey ; ebola; Sierra Leone; heathrow; Health--Diseases and Disorders,Australian Broadcasting Corporation,,http://www.abc.net.au/am/content/2014/s4156399.htm,http://trove.nla.gov.au/version/210492084
Broken Hill remembers WWI attack on home soil,"{u'type': u'reporter', u'value': u'Jacqueline Breen'}; {u'type': u'compere', u'value': u'Simon Santow'}",2015-01-01,ABC Radio. AM,Today Broken Hill in the far west of New South Wales is remembering the strange and tragic part it played in Australias World War I history On this day 100 years ago two men flying a Turkish flag o,Broken Hill; New South Wales; World War One; attack; Christine Adams; Alma Cowie; Bobby Shamroze; Community and Society--History--World War 1,Australian Broadcasting Corporation,,http://www.abc.net.au/am/content/2014/s4156400.htm,http://trove.nla.gov.au/version/210492085
Appeal court in Cairo orders re-trial for Greste and colleagues,"{u'type': u'reporter', u'value': u'Matt Brown'}; {u'type': u'compere', u'value': u'Simon Santow'}",2015-01-02,ABC Radio. AM,The jailed Australian journalist Peter Greste is now hoping he might be deported from Egypt rather than face an uncertain retrial Yesterday an appeal court in Cairo ordered a retrial for him and his,"Peter Greste; Lois Greste; Juris Greste; journalism; Cairo. Egypt; Al Jazeera; Mohammed Fahmy; Baher Mohammed; court; appeal; Law, Crime and Justice--Courts and Trials",Australian Broadcasting Corporation,,http://www.abc.net.au/am/content/2014/s4156697.htm,http://trove.nla.gov.au/version/210503922
Cause of deadly New Year's Eve stampede in Shanghai still unclear,"{u'type': u'reporter', u'value': u'Stephen McDonell'}; {u'type': u'compere', u'value': u'Simon Santow'}",2015-01-02,ABC Radio. AM,In China questions are being asked about what led to a stampede thats left 36 people dead and nearly 50 injured on New Years Eve With competing explanations for the crowd surge along Shanghais his,China; New Year's Eve; stampede; Shanghai; Xi Jinping; Community and Society--Death,Australian Broadcasting Corporation,,http://www.abc.net.au/am/content/2014/s4156701.htm,http://trove.nla.gov.au/version/210503924
