title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
The real millennium bug,John Taylor (Reporter); Peter Cave,2000-01-01,ABC Radio. AM Archive,Nevermind the Y2K computer bug - Australian scientists have announced theyve discovered the real millennium bug Its a water strider - about two millimetres long and harmless to computers It wi,millenium bug;  water strider;  scientists; Science and Technology,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76300.htm,http://trove.nla.gov.au/version/205215258
Hijack hostages released,Tim Lester (Reporter); Peter Cave,2000-01-01,ABC Radio. AM Archive,As millennium fireworks began crackling here families in New Delhi and elsewhere were celebrating for a different reason news that five hijackers had finally left an Indian airlines airbus on an Afg,afghanistan;  indian airlines;  hostages;  hijack; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76298.htm,http://trove.nla.gov.au/version/205215256
US expects continuity in its relationship with Moscow,Michael Carey (Reporter); Peter Cave,2000-01-01,ABC Radio. AM Archive,In the US the White House says it expects continuity in its relationship with Moscow,madeline albright;  bill clinton;  us;  russia;  boris yeltsin;  vladimir putin; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76296.htm,http://trove.nla.gov.au/version/205215254
Mandela marks New Year by return to old jail cell,Ben Wilson (Reporter); Peter Cave,2000-01-01,ABC Radio. AM Archive,Parties and celebrations were a long way from the mind of the former South African president Nelson Mandela as he returned to his old cell on Robben Island to mark the turn of the century,south africa;  nelson mandela;  robben island; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76293.htm,http://trove.nla.gov.au/version/205215252
Australians celebrate the New Year,"Bronwyn Adcock, Shane McLeod (Reporter); Peter Cave",2000-01-01,ABC Radio. AM Archive,Given Australia tamed the bug from Sydney Harbour to the Outback Australians had an extra reason to celebrate the new Century,y2k;  millennium;  celebrations;  new year;  2000; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76291.htm,http://trove.nla.gov.au/version/205215250
Millennium bug lacks bite,Steve Sailah (Reporter); Peter Cave,2000-01-01,ABC Radio. AM Archive,The millenium bug appears to have given Australia a wide berth at least its financial system so far at least No one was more surprised at the bugs lack of bite than the Governor of the Reserve Ban,y2k;  millenium bug;  reserve bank;  ian macfarlane; Business; Economics and Finance -- Economic Trends,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76288.htm,http://trove.nla.gov.au/version/205215248
China's gift for the new millennium,Tom O'Byrne (Reporter); Peter Cave,2000-01-01,ABC Radio. AM Archive,It was meant to be a gift to mark the new century but instead China may have presented Australia with a diplomatic dilemma The Chinese government is sending pieces of stone from Tiananmen square to,china;  tiananmen square; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76301.htm,http://trove.nla.gov.au/version/205215259
Y2K problems for Japanese nuclear plants,Peter Martin (Reporter); Peter Cave,2000-01-01,ABC Radio. AM Archive,It appears the Y2K bug may have caused minor problems at two nuclear power plants in Japan Its understood that at least two computers in the plants stopped displaying data on the stroke of midnight,japan;  nuclear power;  y2k;  bug;  computer; ; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76299.htm,http://trove.nla.gov.au/version/205215257
US relief greets news of Yeltsin's resignation,Michael Carey (Reporter); Peter Cave,2000-01-01,ABC Radio. AM Archive,Keith Bush Director of the Russian programme at the Centre for Strategic and International Studies in Washington said Mr Yeltsins resignation would be met with relief in the the US,keith bush;  boris yeltsin;  vladimir putin;  united states;  russia; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76297.htm,http://trove.nla.gov.au/version/205215255
Yeltsin resigns,Linda Mottram (Reporter); Peter Cave,2000-01-01,ABC Radio. AM Archive,Russian President Boris Yeltsin has done his best to upstage the the celebrations by unexpectedly announcing his resignation after eight years as Russias first democratically-elected president In a,boris yeltsin;  vladimir putin;  marsha lipman;  vladimir rijkov;  kremlin; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76294.htm,http://trove.nla.gov.au/version/205215253
Timor's New Years Eve,Geoff Thompson (Reporter); Peter Cave,2000-01-01,ABC Radio. AM Archive,East Timors first New Years Eve free of foreign domination was spoiled last night by a dramatic clash of cultures between the United Nations and the territorys Catholic Church Staff from a Dili ch,united nations;  new years eve;  catholic church;  mass;  celebration;  Sergio de Mello; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76292.htm,http://trove.nla.gov.au/version/205215251
Y2K bug spending worth it: Govt,Sally Sara (Reporter); Peter Cave,2000-01-01,ABC Radio. AM Archive,An estimated $12 billion was spent by government and industry here in Australia to counter the Y2K bug - money well spent according to the Federal government,y2k;  millennium;  bug;  ian hodges;  alan campbell; Science and Technology,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76290.htm,http://trove.nla.gov.au/version/205215249
Citylink tolls start,Mark Willacy (Reporter); Annie White,2000-01-03,ABC Radio. AM Archive,Drivers in Melbourne are getting a taste of the brave new world of 21st Century motoring and it doesnt come cheap After months of delays caused by technical glitches tolling begins today on Austral,victoria;  citylink;  toll; Business; Economics and Finance -- Industry -- Transport,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76381.htm,http://trove.nla.gov.au/version/205215246
Anderson to listen to Aboriginal elders,Sally Sara (Reporter); Annie White,2000-01-03,ABC Radio. AM Archive,Acting Prime Minister John Anderson says its time to start listening to Aboriginal elders if the nation wants to properly address the issue of reconcilition in the year ahead Mr Anderson who has j,aboriginal;  elders;  john anderson;  reconciliation; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76378.htm,http://trove.nla.gov.au/version/205215244
Business believes economy is slowing,Denise Knight (Reporter); Annie White,2000-01-03,ABC Radio. AM Archive,Business is taking a different view saying theres evidence the economy is slowing The chief executive of the Australian Chamber of Commerce and Industry Mark Paterson warns any move by the Reserv,economy;  business;  inflation;  2000;  outlook; Business;  Economics and Finance Business; Economics and Finance -- Economic Trends,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76376.htm,http://trove.nla.gov.au/version/205215242
Websites warning Y2K failure for sale,Bronwyn Adcock (Reporter); Annie White,2000-01-03,ABC Radio. AM Archive,Many of the predicitons made by y2k prophets are now sounding empty if not ridiculous However all hope is not lost Some of the websites warning of y2k problems are now up for sale with one reporte,Y2K;  millennium bug;  cost;  year 2000;  information technology;  websites;  internet; Business; Economics and Finance,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s76374.htm,http://trove.nla.gov.au/version/205215240
