title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
"Documentary special: fighting for the right to fight, gay and lesbian Russians reflect on 2013",Maisie Cohen (Reporter); Elizabeth Jackson,2014-01-01,ABC Radio. PM,The past year has seen a series of moves by the government in Russia that target and undermine gay lesbian bisexual and transgender rights The most prominent is the propaganda of homosexuality law,Russia;  LGBT;  gay;  lesbian;  Coming Out;  Queerfest;  discrimination;  propaganda;  Polina;  Sasha Semenova;  Igor Iasine;  Andre Petranin;  Susannah Garden;  Lea Kirgetova;  David Tuller;  Kseniia Khrabrykh; Community and Society -- Gays and Lesbians,Australian Broadcasting Corporation,Copyright 2014 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2013/s3919209.htm,http://trove.nla.gov.au/version/205684235
Documentary special: Logan's future,Nance Haxton (Reporter); Elizabeth Jackson,2014-01-02,ABC Radio. PM,Its been dubbed Queenslands new United Nations Logan just to the south of Brisbane in Queenslands south-east is now one of the fastest growing urban corridors in Australia with more than 200 di,logan;  urban corridor;  cultural groups;  riots;  Campbell Newman;  one hope choir;  Steve Swenson;  Vaiuta Faletui;  Chris Tamwoy;  Mayor Pam Parker;  Glen Elmes;  Lesley Chenoweth;  Tyrone Girle;  Senetenari Tamale;  Robyn Williams;  Mike Pearson;  Noel Powers;  Wesley Enoch;  Desley Scott;  barry lane;  Niki Dowding; Community and Society -- Multiculturalism Community and Society -- Race Relations,Australian Broadcasting Corporation,Copyright 2014 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2013/s3919643.htm,http://trove.nla.gov.au/version/205713656
Documentary special - prenatal screening,Mark Colvin; Rachel Carbonell (Reporter),03/01/2014,ABC Radio. PM,Pregnancy is a journey of hope but it's also one of uncertainty. For more than a decade the standard prenatal screening and testing in Australia has remained largely unchanged. But 2013 heralded a scientific revolution in this area. A simple blood test now has the potential to give women more information than ever before.,prenatal;  pregnancy;  blood test;  Jessica Lilley;  Cell Free Foetal DNA testing;  Susan Fawcett;  David Amor;  lisa hui;  ariosa;  natera; Health -- Reproduction and Contraception,Australian Broadcasting Corporation,Copyright 2014 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2013/s3920087.htm,http://trove.nla.gov.au/version/205732986
Documentary special: farmers of the Hunter Valley,Mark Colvin; Nancy Notzon (Reporter),06/01/2014,ABC Radio. PM,"The New South Wales Independent Commission Against Corruption has made some startling findings about politicians and mining leases in the Hunter Valley. Allegations of corruption aside, through its investigations the ICAC has revealed just how vulnerable people can be if they happen to live in an area which a mining company decides it wants.",Independent Commission Against Corruption;  ICAC;  Hunter Valley;  farmers;  farming;  mining;  Ian Moore;  brian atvil;  robyn moore;  nucoal;  Doyles Creek Mining;  Rob Joyner;  Allen Barry;  Bryan Chapman; Bev Smiles; Rural -- Mining,Australian Broadcasting Corporation,Copyright 2014 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2013/s3921326.htm,http://trove.nla.gov.au/version/205754350
Union warns foreign truck drivers could lead to more crashes,Michael Janda (Reporter); Brendan Trembath,2014-01-06,ABC Radio. PM,The Transport Workers Union is warning that a proposal to extend the 457 skilled migrant visa program to truck drivers could lead to more heavy vehicle crashes on Australian roads The Australian Truc,road;  transport;  accident;  truck;  TWU;  Australian Trucking Association;  457 visa;  immigration; Business; Economics and Finance -- Industry -- Transport Community and Society -- Immigration Government and Politics -- Unions,Australian Broadcasting Corporation,Copyright 2014 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2013/s3921314.htm,http://trove.nla.gov.au/version/205754346
Toyota to decide future in Australia by middle of the year,Pat McGrath (Reporter); Brendan Trembath,2014-01-06,ABC Radio. PM,Toyota says it will know by the middle of this year whether it will make cars in Australia beyond 2018 Toyota Australia is bidding for a contract to continue manufactuing and exporting Camry vehicles,toyota;  australia;  japan;  cars;  automotive industry;  manufaturing; Business;  Economics and Finance -- Industry -- Automotive Business; Economics and Finance -- Industry -- Manufacturing,Australian Broadcasting Corporation,Copyright 2014 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2013/s3921310.htm,http://trove.nla.gov.au/version/205754345
Fed Govt leaves open option of privatising Australia Post,Melissa Clarke (Reporter); Brendan Trembath,2014-01-06,ABC Radio. PM,The Federal Government says the only publicly-owned asset it plans to privatise is Medibank Private But the Acting Treasurer Mathias Corman says it would consider selling off other assets including,government;  politics;  finance;  Mathias Cormann;  privatisation;  budget; Government and Politics -- Federal Government Government and Politics -- Privatisation and Deregulation Health -- Health Insurance,Australian Broadcasting Corporation,Copyright 2014 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2013/s3921316.htm,http://trove.nla.gov.au/version/205754347
UQ mistakenly offers hundreds of scholarships,Nance Haxton (Reporter); Brendan Trembath,2014-01-06,ABC Radio. PM,Four-hundred University of Queensland students have received an apology from the university after they were mistakenly offered scholarships on Christmas Eve only to have them withdrawn in the new yea,university;  queensland;  scholarship;  christas eve;  new year;  mistake;  apology; Education -- Access To Education Education -- University and Further Education,Australian Broadcasting Corporation,Copyright 2014 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2013/s3921318.htm,http://trove.nla.gov.au/version/205754348
Sports drug scandals causing grassroots supplements boom,Tom Nightingale (Reporter); Brendan Trembath,2014-01-06,ABC Radio. PM,Drugs counsellors say the AFL and NRL supplements scandals of the past 12 months have caused a spike in the number of grassroots athletes seeking the same drugs They are worried that new users may in,sports;  drugs;  supplements;  peptides;  Essendon;  Cronulla;  John Ryan;  injecting;  men;  teenagers;  AFL;  NRL;  grassroots;  Dr Steve Hambleton; Community and Society -- Drugs and Substance Abuse -- Doping in Sports Health -- Doctors and Medical Professionals Sport -- Australian Football League Sport -- Rugby League -- NRL,Australian Broadcasting Corporation,Copyright 2014 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2013/s3921320.htm,http://trove.nla.gov.au/version/205754349
"Govt silence on boats not good enough say Labor, Greens",Peter Lloyd (Reporter); Brendan Trembath,2014-01-07,ABC Radio. PM,The Immigration Minister is refusing to speak to the media today Instead Scott Morrison has released a statement saying the Government will not comment citing operational security But both Labor a,sarah hanson-young;  asylum;  immigration; ; Community and Society -- Immigration Government and Politics -- Federal Government Government and Politics -- Political Parties -- Greens,Australian Broadcasting Corporation,Copyright 2014 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2013/s3921777.htm,http://trove.nla.gov.au/version/205756203
