title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Ship stranded in pack ice,Michele Fonseca (Reporter); Narelle Hooper,2002-01-02,ABC Radio. AM Archive,Forty Australians trapped on board a cargo ship stranded in pack ice in Antarctica since early December are hoping theyll be rescued by the end of the week,ship;  stranded;  pack ice;  antarctica;  mawson;  polar bird; Science and Technology,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s450728.htm,http://trove.nla.gov.au/version/206952942
Sth African township bands,Sally Sara (Reporter); Narelle Hooper,2002-01-02,ABC Radio. AM Archive,It began as a project to keep young South Africans off the street and out of trouble Now thousands of young people in the nations poorest regions are making music Marching bands have been set up ac,bands;  townships;  south africa;  children;  marching; Community and Society -- Family and Children Arts and Entertainment,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s450748.htm,http://trove.nla.gov.au/version/206952943
The euro: financial markets,Narelle Hooper,2002-01-02,ABC Radio. AM Archive,The financial markets that have been dealing with an electronic euro for three years greeted the first day of the changeover with barely a blip AM asked Steven Bell the global Chief Economist at D,euro;  europe;  money;  trade;  commerce;  currency;  markets;  finance;  Business; Economics and Finance -- Economic Trends Arts and Entertainment -- Events,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s450692.htm,http://trove.nla.gov.au/version/206952940
Airline security summit,Shane McLeod (Reporter); Narelle Hooper,2002-01-02,ABC Radio. AM Archive,Executives from Australias three major domestic airlines are understood to be meeting today for a summit on security The meeting comes as Federal Protective Service Agents take to the skies travell,air marshals;  airline;  security;  costs;  virgin blue;  qantas;  meeting; Lifestyle and Leisure -- Travel and Tourism Defence and National Security Business; Economics and Finance,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s450710.htm,http://trove.nla.gov.au/version/206952941
Indian/Pakistani tensions ease,Edmond Roy (Reporter); Narelle Hooper,2002-01-02,ABC Radio. AM Archive,Tension on the sub-continent between India and Pakistan has eased slightly after Pakistans decision to detain more than 100 Islamic activists Both India and Pakistan are now down-playing the extreme,india;  pakistan;  war;  tensions;  eased;  arrest;  militants;  pressure;  Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s450666.htm,http://trove.nla.gov.au/version/206952938
The euro has landed,Geoff Hutchison (Reporter); Narelle Hooper,2002-01-02,ABC Radio. AM Archive,The first day of a brand new era the switch to the new single European hard currency has seen it largely given the thumbs up Its even had the blessing from the pope,euro;  europe;  money;  trade;  commerce;  currency;  maastricht;  Business; Economics and Finance -- Economic Trends Arts and Entertainment -- Events,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s450672.htm,http://trove.nla.gov.au/version/206952939
Firefighters' wives,Rafael Epstein (Reporter); Narelle Hooper,2002-01-02,ABC Radio. AM Archive,Many of the thousands of men and women fighting the fires come from interstate to bolster the efforts and as Rafael Epstein reports for those who are left behind its a difficult time of year to be,bushfires;  sydney;  new south wales;  firefighters;  wives; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s450651.htm,http://trove.nla.gov.au/version/206952937
West Pymble fires,Philippa McDonald (Reporter); Narelle Hooper,2002-01-02,ABC Radio. AM Archive,In Wallalong Crescent in the northern Sydney suburb of West Pymble flames are just 5 metres from Deborah Roberts home As she hosed down the house she spoke to Philippa McDonald,bushfires;  sydney;  new south wales;  firefighters; ; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s450625.htm,http://trove.nla.gov.au/version/206952935
No relief for fire fighters,David Mark (Reporter); Narelle Hooper,2002-01-02,ABC Radio. AM Archive,Around the state more than 65 fires are burning and more than a third of a million hectares have been lost as a call goes out for more reinforcements from other states to help in the battle,bushfires;  sydney;  new south wales;  firefighters; ; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s450616.htm,http://trove.nla.gov.au/version/206952934
NSW bushfires continue,Philippa McDonald (Reporter); Narelle Hooper,2002-01-02,ABC Radio. AM Archive,Soaring temperatures brought the devastation towards the centre of Sydney yesterday with hundreds of residents in the citys north west on evacuation alert as fires crept dangerously close to their ho,bushfires;  sydney;  new south wales;  firefighters;  sue kidd; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s450611.htm,http://trove.nla.gov.au/version/206952933
Pennant Hills bushfires,Philippa McDonald (Reporter); Narelle Hooper,2002-01-02,ABC Radio. AM Archive,Rob Tickell is Acting Divisional Commander in charge of battling that blaze which he says is now under control thanks to the overnight efforts of hundreds of fire fighters He told Philippa McDonald,bushfires;  sydney;  new south wales;  firefighters;  pennant hills; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s450635.htm,http://trove.nla.gov.au/version/206952936
Ansett frequent flyers,Michele Fonseca (Reporter); Narelle Hooper,2002-01-03,ABC Radio. AM Archive,Its looking increasingly likely that all may not be lost for Ansetts frequent flyers The Administrators are finalising plans for travellers to recover some of the points they lost when the airline,ansett;  frequent flyers;  fox;  lew;  passengers;  customers; Business;  Economics and Finance Lifestyle and Leisure -- Travel and Tourism Business; Economics and Finance -- Industry -- Transport,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s451336.htm,http://trove.nla.gov.au/version/206952931
The homeless in Moscow,Jill Colgan (Reporter); Narelle Hooper,2002-01-03,ABC Radio. AM Archive,In Moscow its cold and getting colder and hundreds of Russians have perished on the streets in what is the citys coldest winter in more than two decades,homeless;  moscow;  salvation army;  poverty;  food;  cold;  winter; Community and Society Government and Politics,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s451337.htm,http://trove.nla.gov.au/version/206952932
Aboriginal remains in England,Matt Peacock (Reporter); Narelle Hooper,2002-01-03,ABC Radio. AM Archive,In London the Royal English College of Surgeons has decided to return its collection of Aboriginal human remains to Australia Its been claimed the collection includes pieces of skin and hair belong,aborigines;  remains;  body;  truganini;  tasmania;  england;  return; Community and Society -- Indigenous (Aboriginal and Torres Strait Islander) Community and Society -- Indigenous (Aboriginal and Torres Strait Islander) Community and Society -- History,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s451332.htm,http://trove.nla.gov.au/version/206952929
Fewer asylum seekers coming to Aust,Alexandra Kirk (Reporter); Narelle Hooper,2002-01-03,ABC Radio. AM Archive,Last month 146 asylum seekers were turned back compared to more than 700 illegal arrivals over the same period for the previous 2 years Immigration Minister Philip Ruddock says many thousands more,asylum seekers;  refugees;  australia;  figures;  pacific solution;  ruddock; Community and Society -- Immigration Government and Politics Community and Society,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s451333.htm,http://trove.nla.gov.au/version/206952930
Sept 11 hijacker in court,John Shovelan (Reporter); Narelle Hooper,2002-01-03,ABC Radio. AM Archive,The only man US authorities have charged with being directly involved in the September 11 terrorist attacks has declined to enter a plea in court preferring instead to invoke the name of Allah,september eleven;  hijacker;  zacarias moussaoui;  court;  plea;  Law; Crime and Justice -- Laws,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s451331.htm,http://trove.nla.gov.au/version/206952928
Is more bushfire research needed?,Shane McLeod (Reporter); Narelle Hooper,2002-01-03,ABC Radio. AM Archive,Since 1967 nearly 250 lives have been claimed by bushfire in Australia and the economic cost from the 1983 Victorian and South Australian Ash Wednesday fires alone was a billion dollars Yet Australi,bushfires;  fires;  day 11;  weather;  conditions;  new south wales;  sydney;  research;  preparation;  les foster;  research; Government and Politics,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s451329.htm,http://trove.nla.gov.au/version/206952926
Sussex Inlet residents evacuated to RSL,Rebecca Carmody (Reporter); Narelle Hooper,2002-01-03,ABC Radio. AM Archive,Its been a restless night for residents at the holiday haveN of Sussex Inlet not knowing the fate of their homes Fire authorities believe at least 12 properties were lost but the true extent of the,bushfires;  fires;  day 11;  weather;  conditions;  new south wales;  sydney;  sussex inlet;  rsl; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s451327.htm,http://trove.nla.gov.au/version/206952924
Cyclone warning for Qld,Philippa McDonald (Reporter); Narelle Hooper,2002-01-03,ABC Radio. AM Archive,Queensland is bracing itself for more extreme weather This time cyclones in the states gulf country near the Northern Territory border,queensland;  cyclone;  warning;  weather; ; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s451330.htm,http://trove.nla.gov.au/version/206952927
The appropriate punishment for arsonists?,Emma Simkin (Reporter); Narelle Hooper,2002-01-03,ABC Radio. AM Archive,As the fires rage on the task for those fighting to save lives and homes has been made more difficult by the knowledge that many of the blazes were deliberately lit More than 20 people have now been,bushfires;  fires;  day 11;  weather;  conditions;  new south wales;  sydney;  arson;  punishment;  crime;  conferencing;  Law; Crime and Justice -- Laws,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s451328.htm,http://trove.nla.gov.au/version/206952925
Day 11 of New South Wales fires,David Mark (Reporter); No relief,2002-01-03,ABC Radio. AM Archive,After 2 days of extreme weather todays forecast to be milder with winds swinging to the south west and temperatures expected to stay below 30 degrees but fire fighters still have around 100 blazes t,bushfires;  fires;  day 11;  weather;  conditions;  new south wales;  sydney; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s451326.htm,http://trove.nla.gov.au/version/206952923
Lleyton Hewitt out with chicken pox,David Mark (Reporter); Narelle Hooper,2002-01-04,ABC Radio. AM Archive,Could Australias biggest tennis event lose its number one attraction to chicken pox? US Open winner and world number one Lleyton Hewitt has pulled out of Perths Hopman Cup in a race to be fit for,lleyton hewitt;  chicken pox;  tennis;  sick; Sport -- Tennis,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s452181.htm,http://trove.nla.gov.au/version/206952922
"Aust contract for ""ground zero""",John Shovelan (Reporter); Narelle Hooper,2002-01-04,ABC Radio. AM Archive,Australian construction company Bovis Lend Lease has won the contract to oversee the largest clean-up and excavation job in US history The company will take over the day-to-day management of cleanin,construction;  ground zero;  new york;  bovis lend lease;  contract; Business; Economics and Finance,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s452154.htm,http://trove.nla.gov.au/version/206952920
British census,Matt Peacock (Reporter); Narelle Hooper,2002-01-04,ABC Radio. AM Archive,The private details of 32 million old residents of England and Wales have been posted on the internet by Londons Public Record Office and within minutes of the sites launch 24 hours ago it was swam,britain;  census;  family history;  1901;  public records;  internet; Community and Society -- History Information and Communication -- Internet,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s452159.htm,http://trove.nla.gov.au/version/206952921
No releases as US search continues,Leigh Sales (Reporter); Narelle Hooper,2002-01-04,ABC Radio. AM Archive,The United States has launched its first strike in Afghanistan for several days at an al-Qaeda compound in the east of the country The strike underscores a point the US is keen to make today its no,taliban;  al-qaeda;  rumsfeld;  brief;  north america;  prisoners;  release; ; ,Australian Broadcasting Corporation,Copyright 2003 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/stories/s452134.htm,http://trove.nla.gov.au/version/206952919
