title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Sounds of Summer: Special Cedric,Felicity Ogilvie (Reporter); Elizabeth Jackson,2009-01-01,ABC Radio. The World Today,On AM for almost three years now weve been tracking the progress of a Tasmanian devil called Cedric Cedric shot to international fame when it looked like he was naturally immune to the contagious fa,cedric; Science and Technology -- Animals -- Mammals,Australian Broadcasting Corporation,Copyright 2010 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2009/s2783316.htm,http://trove.nla.gov.au/version/204829671
Christmas and Summer recess,Eleanor Hall & Shane McLeod (Reporter); ,2009-01-13,ABC Radio. The World Today,December 19th was the last program of The World Today for 2009 Our regular program will return on Monday 25th of January in the New Year The team at The World Today would like to wish all our listen,the world today; ,Australian Broadcasting Corporation,Copyright 2010 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2009/s2781509.htm,http://trove.nla.gov.au/version/204829672
Government considering tax cuts and helping the welfare sector,Alexandra Kirk (Reporter); Eleanor Hall,2009-01-27,ABC Radio. The World Today,The Federal Government is looking at bringing forward 2010 tax cuts for low income earners as part of yet another economic stimulus package while also talking to welfare groups about what can be done,SIMON CREAN;  CHRIS RICHARDSON;  FRANK QUINLAN; Community and Society -- Welfare Event -- International Financial Crisis Government and Politics -- Federal Government Government and Politics -- Tax,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2008/s2475173.htm,http://trove.nla.gov.au/version/205255087
Fresh recession warning,Stephen Long (Reporter); Eleanor Hall,2009-01-27,ABC Radio. The World Today,A key business survey is warning of a recession in Australia and a jobless rate of seven per cent despite a modest rebound in business conditions last month It comes as an official inflation survey,recession;  economy;  National Australia Bank; Community and Society -- Unemployment Government and Politics -- Federal Government,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2008/s2475175.htm,http://trove.nla.gov.au/version/205255088
Obama launches energy policy,Kim Landers (Reporter); Eleanor Hall,2009-01-27,ABC Radio. The World Today,The US President Barack Obama has begun implementing a new agenda on climate change by reversing several of the policies of the Bush administration The President has also appointed a special envoy to,Barack Obama;  climate change;  energy;  ARNOLD SCHWARZENEGGER;  MEG BOYLE; Business; Economics and Finance -- Industry -- Automotive Environment -- Climate Change Government and Politics -- World Politics,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2008/s2475180.htm,http://trove.nla.gov.au/version/205255090
Fatah and Hamas hold talks,Barbara Miller (Reporter); Eleanor Hall,2009-01-27,ABC Radio. The World Today,For the first time in almost a year the rival Palestinian factions Fatah and Hamas have held talks aimed at reconciliation While tensions between Fatah and Hamas increased during Israels three-week,Fatah;  Hamas;  Gaza;  Israel;  AZZAM AL-AHMAD;  ANTHONY BUBALO;  GHAZI HAMAD; Government and Politics -- World Politics Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2008/s2475185.htm,http://trove.nla.gov.au/version/205255092
Trade minister urging Europe to drop planned export dairy export subsidies,Alexandra Kirk (Reporter); Eleanor Hall,2009-01-27,ABC Radio. The World Today,The Trade Minister Simon Crean is objecting to Europes dairy export refunds warning they could trigger wider consequences and send a bad signal on free trade,trade;  Simon Crean;  economy;  exports; Business; Economics and Finance -- International Aid and Trade Event -- International Financial Crisis,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2008/s2475178.htm,http://trove.nla.gov.au/version/205255089
Government considers mandatory fuel standards,Simon Lauder (Reporter); Eleanor Hall,2009-01-27,ABC Radio. The World Today,A proposal for compulsory fuel efficiency standards for new cars is now being considered by the Australian Government Analysts say new rules announced in the US to force car manufacturers to produce,fuel;  cars;  efficiency;  transport;  pollution;  climate;  ALAN EVANS; Business; Economics and Finance -- Industry -- Automotive Environment -- Climate Change,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2008/s2475182.htm,http://trove.nla.gov.au/version/205255091
Lawyer shortage despite downturn,Simon Santow (Reporter); Eleanor Hall,2009-01-27,ABC Radio. The World Today,Lawyers are warning that even with the economic downturn there arent enough of them to go around particularly in regional and rural Australia They argue that the answer might be to offer a discount,lawyer;  graduate;  HECS;  regional;  DANNY BARLOW;  CAM THOMSON; Education -- University and Further Education Law; Crime and Justice -- Judges and Legal Profession,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2008/s2475203.htm,http://trove.nla.gov.au/version/205255094
NSW Government website hacked?,Nick Lucchinelli (Reporter); Eleanor Hall,2009-01-27,ABC Radio. The World Today,Job seekers who have used the official New South Wales Government employment website want assurances their privacy hasnt been compromised after spam emails were sent to people on the database The Ne,spam;  digital;  employment;  online;  e-security;  CATHERINE PARROTT;  AYSHE LEWIS;  BILL CAELLI; Science and Technology -- Computers and Technology Science and Technology -- Computers and Technology -- Hacking,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2008/s2475205.htm,http://trove.nla.gov.au/version/205255096
