title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
53 reported dead in Bangkok nightclub fire,Barbara Miller (Reporter); Eleanor Hall,2009-01-01,ABC Radio. AM,Over 50 people are reported to have been killed in a fire at a nightclub near the heart of the Thai capital Early reports suggest the blaze may have been caused by fireworks set off to celebrate the,bangkok;  DAVID LELAND;  ANDREW JONES;  Santika Club; Disasters and Accidents -- Fires,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2008/s2457547.htm,http://trove.nla.gov.au/version/205231541
Israeli tanks wait for orders to begin ground assault,Ben Knight (Reporter); Eleanor Hall,2009-01-01,ABC Radio. AM,Six days into Israels war with Hamas there are growing questions about the objective of the airstrikes on Gaza The ABCs Middle East correspondent Ben Knight reports that the Israeli Government see,gaza;  Mark Regev;  Mahane Yehuda market;  GIORA EILAND; Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2008/s2457548.htm,http://trove.nla.gov.au/version/205231542
PM says '09 will be tough for Australia,Sabra Lane (Reporter); Eleanor Hall,2009-01-01,ABC Radio. AM,The Prime Minister Kevin Rudd says 2009 will be tough for both the world economy and Australia Mr Rudd says the Governments determined to do all it can to help families and businesses through the,politics;  Malcolm Turnbull;  KEVIN RUDD; Government and Politics -- Federal Government,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2008/s2457550.htm,http://trove.nla.gov.au/version/205231543
Rudd urged to heed economic lessons from the 1970s,Kirrin McKechnie (Reporter); Eleanor Hall,2009-01-01,ABC Radio. AM,Secret Cabinet papers from 1978 have been released today under the 30-year rule They show how the then Fraser government grappled with a big budget deficit The man in charge of the Treasury coffers,cabinet;  John Howard;  fraser government;  FRED CHANEY;  Andrew Peacock;  Olivia Newton-John; Government and Politics -- Federal Government Government and Politics -- Political Parties -- Liberals,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2008/s2457553.htm,http://trove.nla.gov.au/version/205231544
Northern Territory releases Cabinet papers,Sarah Hawke (Reporter); Eleanor Hall,2009-01-01,ABC Radio. AM,1978 was the first year of self government for the Northern Territory Despite economic growth and efforts by various governments 30 years on little has changed for the territorys Indigenous commun,territory;  JOHN ENGLAND;  Paul Everingham;  DAWN LAWRIE; Government and Politics -- States and Territories,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2008/s2457557.htm,http://trove.nla.gov.au/version/205231545
Stockmarket pain on par with 1930s Depression,Kim Landers (Reporter); Eleanor Hall,2009-01-01,ABC Radio. AM,The US stockmarket has ended its worst year since the Great Depression Washington correspondent Kim Landers looks back on the record lows and casualties of the global financial downturn,wall street;  GEORGE W. BUSH;  RICHARD YAMARONE;  Henry Paulson;  BEN BERNANKE; Business; Economics and Finance,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2008/s2457563.htm,http://trove.nla.gov.au/version/205231546
Euro sceptic set to take leadership role of European Union,Stephanie Kennedy (Reporter); Eleanor Hall,2009-01-01,ABC Radio. AM,Questions about the future of the European Union have surfaced with one of the blocs most prominent critics about to lead the organisation The rotating presidency of the EU is going to the Czech Rep,eu;  Nicolas Sarkozy;  RICHARD WHITMAN;  PATRICE DE BEER; Government and Politics -- Foreign Affairs,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2008/s2457564.htm,http://trove.nla.gov.au/version/205231547
2009 - the year of the stars,Karen Barlow (Reporter); Eleanor Hall,2009-01-01,ABC Radio. AM,In a move intended to celebrate and encourage celestial science the United Nations has proclaimed 2009 -- the International Year of Astronomy,BRETT MCMILLAN;  MATTHEW COLLESS; Science and Technology -- Astronomy (Space),Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2008/s2457567.htm,http://trove.nla.gov.au/version/205231549
Academic freed from Singaporean jail,Sarah Dingle (Reporter); Eleanor Hall,2009-01-01,ABC Radio. AM,Singaporean academic John Tan has been released from jail after being incarcerated for wearing a t-shirt featuring a kangaroo,John Tan; Government and Politics -- Foreign Affairs Law;  Crime and Justice -- Courts and Trials Law; Crime and Justice -- International Law,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2008/s2457566.htm,http://trove.nla.gov.au/version/205231548
Campaign to end car-honking in New Delhi,Sally Sara (Reporter); Eleanor Hall,2009-01-01,ABC Radio. AM,January the first has been declared No Honking Day in the Indian capital The day has been organised by an environment group which admits enforcing the new rule on the citys chaotic traffic will be,delhi;  RAVI KALRA;  Earth Savers Foundation;  Pooja Thakur;  Naina Sahni;  ASHOK KUMAR; Government and Politics -- Foreign Affairs,Australian Broadcasting Corporation,Copyright 2009 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2008/s2457655.htm,http://trove.nla.gov.au/version/205231550
