title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Documentary Special: Gay surrogacy,Nance Haxton (Reporter); Simon Santow,2013-01-07,ABC Radio. PM,In Queensland the LNP Government has indicated it will rollback some laws introduced by Anna Bligh when she was premier One of those in particular is the Surrogacy Act which currently allows same s,surrogacy act;  gays;  lesbians;  children;  surrogacy laws;  queensland;  Jared Merrell;  Michael Knowles;  Dr David van Gend;  Scott Prasser;  Attorney-General Jarrod Bleijie;  Sex Discrimination Act;  Jackie Trad;  Katherine Eastaughffe;  Alison Ross;  International Convention of the Rights of the Child;  Stephen Page; ; Community and Society -- Family and Children -- Parenting Community and Society -- Gays and Lesbians Government and Politics -- Activism and Lobbying Government and Politics,Australian Broadcasting Corporation,Copyright 2013 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3665787.htm,http://trove.nla.gov.au/version/204853420
Shane Warne fined,Martin Cuddihy (Reporter); Sally Sara,2013-01-07,ABC Radio. PM,Hes a legend of the game but last night the spin-king spun out of control Shane Warne has been fined $4 500 and banned for one match for an on-field altercation in a domestic Twenty20 match in Melb,Shane Warne;  Twenty20;  Cricket Commentator Jim Maxwell;  Cricket Australia James Sutherland; Sport -- Cricket Sport -- Cricket -- Twenty20,Australian Broadcasting Corporation,Copyright 2013 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3665415.htm,http://trove.nla.gov.au/version/204853430
Gillard visits school ruined in Tasmania fires,Brendan Trembath (Reporter); Sally Sara,2013-01-07,ABC Radio. PM,The Prime Minister Julia Gillard has walked through the ruins of a burnt out school in Tasmania She was visiting the bushfire devastated community of Dunalley outside Hobart The State Government has,Julia Gillard;  Dunalley;  Tasman Peninsula; Disasters and Accidents -- Fires -- Bushfire,Australian Broadcasting Corporation,Copyright 2013 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3665402.htm,http://trove.nla.gov.au/version/204853424
Worst bushfire conditions in years to hit NSW,Lindy Kerin (Reporter); Sally Sara,2013-01-07,ABC Radio. PM,Fire fighters in New South Wales are bracing for some of the worst bushfire conditions in years In the far west of New South Wales the temperature in some towns is predicted to reach 45 degrees whil,bushfire;  NSW;  Barry O'Farrell;  Shoalhaven;  Rural Fire Service;  Mark Williams;  Bureau of Meteorology;  Australasian Fire and Emergency Service Authorities Council;  Stuart Ellis; Disasters and Accidents -- Fires -- Bushfire Weather,Australian Broadcasting Corporation,Copyright 2013 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3665404.htm,http://trove.nla.gov.au/version/204853426
Fire conditions in NSW more than two years in the making,Sally Sara (Reporter); Sally Sara,2013-01-07,ABC Radio. PM,Dense grass cover and dangerous weather conditions could create catastrophic fire conditions in New South Wales Fire authorities say complacency could have deadly consequences,RFS;  bushfire;  Shane Fitzsimmons; Disasters and Accidents -- Fires,Australian Broadcasting Corporation,Copyright 2013 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3665414.htm,http://trove.nla.gov.au/version/204853428
Anti-smoking message stronger with new bans: lobby groups,Stephanie Smail (Reporter); Sally Sara,2013-01-07,ABC Radio. PM,Tough new smoking laws in NSW have made it illegal to light up in a number of public places including playgrounds and bus stops The Cancer Council Australia says the bans are a sign public health mes,smoking;  New South Wales;  Cancer Council Australia;  Professor Ian Olver;  Jillian Skinner;  ban.; Health -- Smoking Law; Crime and Justice -- Laws,Australian Broadcasting Corporation,Copyright 2013 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3665444.htm,http://trove.nla.gov.au/version/204853432
Obama vows to fix the country's broken immigration system,Lisa Millar (Reporter); Sally Sara,2013-01-07,ABC Radio. PM,US president Barack Obama has vowed that fixing the countrys broken immigration system will be a top priority in his second term America is home to an estimated 12 million undocumented immigrants -,obama; Community and Society -- Immigration Government and Politics -- Foreign Affairs,Australian Broadcasting Corporation,Copyright 2013 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3665450.htm,http://trove.nla.gov.au/version/204853434
Whitehaven Coal shares plunge,Alicia Barry (Reporter); Sally Sara,2013-01-07,ABC Radio. PM,Todays business and finance on the markets,Whitehaven Coal; Business; Economics and Finance,Australian Broadcasting Corporation,Copyright 2013 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3665416.htm,http://trove.nla.gov.au/version/204853436
Tarcutta residents fight bushfire,Sally Sara (Reporter); Sally Sara,2013-01-08,ABC Radio. PM,Residents of the town of Tarcutta near Wagga Wagga in New South Wales are fighting to contain the fire Seventy-three-year-old Gwen Brown describes the scene at the local RSL Club,Tarcutta;  RSL;  New South Wales;  fire;  evacuate; Disasters and Accidents -- Emergency Planning Disasters and Accidents -- Fires Disasters and Accidents -- Fires -- Bushfire Weather,Australian Broadcasting Corporation,Copyright 2013 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2013/s3665978.htm,http://trove.nla.gov.au/version/204853413
Outback roads 'melt' as Australia records hottest day,Rebecca Brice (Reporter); Sally Sara,2013-01-08,ABC Radio. PM,Yesterday was Australias hottest day according to the Bureau of Meteorology which averages hundreds of temperatures across the nation to come up with the figure But the bureau predicts that record,heatwave;  hot weather;  heat;  temperature; Outback;  Oodnadatta;  Alice Springs;  Lynnie Plate;  John Wallington;  balloon;  David Jones;  Bureau of Meteorology;  South Australia;  Northern Territory;  climate;  record; Disasters and Accidents -- Emergency Planning Disasters and Accidents -- Fires Disasters and Accidents -- Fires -- Bushfire Environment -- Climate Change,Australian Broadcasting Corporation,Copyright 2013 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2013/s3665987.htm,http://trove.nla.gov.au/version/204853416
