title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Water plan neglects downstream problems: Greens MP,Nance Haxton (Reporter); Eleanor Hall,2007-01-29,ABC Radio. The World Today,While irrigators in the north are worried about a water buy-back in South Australia there is concern that some downstream problems are being overlooked in the Prime Ministers $10-billion water plan,John Howard;  Murray-Darling;  Peter Owen;  Coorong wetlands;  Mark Parnell; Environment -- Water Environment -- Wetlands Government and Politics,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1835381.htm,http://trove.nla.gov.au/version/205252140
Jodeen Carney criticises Government for Hicks detainment,Anne Barker (Reporter); Eleanor Hall,2007-01-29,ABC Radio. The World Today,The Northern Territorys Country Liberal Party leader has slammed the Federal Government over its stance on the incarceration of Australian terrorism suspect David Hicks Jodeen Carney is the first le,Jodeen Carney;  John Howard;  David Hicks; Government and Politics Unrest; Conflict and War -- Terrorism,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1835485.htm,http://trove.nla.gov.au/version/205252142
Government at odds over Murray-Darling plan,Alexandra Kirk (Reporter); Eleanor Hall,2007-01-29,ABC Radio. The World Today,The Prime Minister says hell write to state and territory leaders this week about his $10-billion plan for the Murray-Darling river system But as he waits to see whether or not they will agree to ha,water shortage;  Barnaby Joyce;  Kay Hull;  Malcolm Turnbull;  Murray Darling River;  compulsory acquisition; Environment -- Water Government and Politics,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1835292.htm,http://trove.nla.gov.au/version/205252139
Labor promises education overhaul ahead of election,Chris Uhlmann (Reporter); Eleanor Hall,2007-01-29,ABC Radio. The World Today,In its first real policy announcement of the election year the Federal Labor party is promising $450 million to overhaul early childhood education turning day care into pre-school If it wins govern,Labor education policy;  Kevin Rudd;  Jenny Macklin;  Linda Latham; Education Government and Politics,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1835496.htm,http://trove.nla.gov.au/version/205252144
US forces crack down on Iraqi insurgency,Michael Vincent (Reporter); Eleanor Hall,2007-01-29,ABC Radio. The World Today,In Iraq hundreds of insurgents have been killed in a battle with US and Government forces near the Shiite holy city of Najaf south of Baghdad It appears the insurgents had been planning to assassin,Najaf;  Iraq War;  Sunni insurgents;  Dr Rob Lyon;  Australian Strategic Policy Institute; Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1835519.htm,http://trove.nla.gov.au/version/205252146
Queensland water scheme gains environmental support,Louise Willis (Reporter); Eleanor Hall,2007-01-29,ABC Radio. The World Today,While the State Premiers are yet to see the detail of the Prime Ministers plan for the Murray-Darling Mr Howard was today backing a bold water initiative by the Queensland Government Queensland Pre,Peter Beattie;  recycled water;  Professor Peter Cullen;  Murray-Darling;  Goulburn; Environment -- Water Government and Politics,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1835451.htm,http://trove.nla.gov.au/version/205252141
ASX continues record breaking run,Peter Ryan (Reporter); Eleanor Hall,2007-01-29,ABC Radio. The World Today,Were only a few weeks into the new year and already the Australian share market is showing every sign of continuing its record breaking run But can the bull market of recent years continue through 2,Rio Tinto;  Australian sharemarket;  Leighton Holdings;  Oxiana;  Macquarie Bank; Business; Economics and Finance,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1835530.htm,http://trove.nla.gov.au/version/205252148
Vice-chancellor dismisses claims of poor English standards in universities,Emma Alberici (Reporter); Eleanor Hall,2007-01-29,ABC Radio. The World Today,University Vice-Chancellors have hit back at suggestions their foreign students are graduating with such poor English language skills that at least a third of them are unemployable A study by demogra,International students;  Bob Birrell;  Tony Pollock;  Gavin Brown;  Monash University;  English language; Community and Society -- Immigration Education -- University and Further Education,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1835490.htm,http://trove.nla.gov.au/version/205252143
Lawyer accuses Government of pushing for Palm Island prosecution,Louise Willis (Reporter); Eleanor Hall,2007-01-29,ABC Radio. The World Today,In Queensland the lawyer for the police officer charged over the death in custody of a Palm Island man has accused the Beattie Government of being in too much of a hurry to prosecute his client A man,Palm Island;  Chris Hurley;  Mulrunji;  Glen Cranny;  Denis Fitzpatrick;  Peter Beattie;  Police Union; Government and Politics Law;  Crime and Justice -- Crime Law; Crime and Justice -- Police,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1835505.htm,http://trove.nla.gov.au/version/205252145
Conservative joins US Presidential race,Mark Simkin (Reporter); Eleanor Hall,2007-01-29,ABC Radio. The World Today,In the United States the field of potential Presidential candidates just keeps getting bigger The latest entrant is a former Republican governor of Arkansas Mike Huckabee hails from the ultra conse,2009 Presidential election;  Hillary Clinton;  Mike Huckabee;  Rudy Giuliani;  Republican party;  Democrat party; Government and Politics -- Elections,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1835525.htm,http://trove.nla.gov.au/version/205252147
Leaflets spark fresh refugee controversy in Tamworth,Emily Bourke (Reporter); Eleanor Hall,2007-01-30,ABC Radio. The World Today,The New South Wales town of Tamworth is once again embroiled in controversy over refugees Less the two weeks after the towns council tried to end the furore over a refugee resettlement program the,Refugees;  Tamworth;  resettlement program;  provocative leaflets;  violence;  crime;  sexual attacks;  disease;  Sudanese;  Graeme Innes;  legal action;  African refugee influx;  Race Discrimination Act; Community and Society -- Discrimination Community and Society -- Immigration -- Refugees Community and Society -- Race Relations Government and Politics -- Activism and Lobbying,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1836414.htm,http://trove.nla.gov.au/version/205252128
Law Council reject plan to investigate complaints against judiciary,Emma Alberici (Reporter); Eleanor Hall,2007-01-30,ABC Radio. The World Today,There has been more legal support today for the New South Wales Chief Justice Jim Spigelman who last night criticised the State Governments plan to appoint community representatives to the panel in,Jim Spigelman; Tim Bugg;  Pat O'Shane;  Morris Iemma;  judiciary;  New South Wales Chief Justice;  Law Council; Government and Politics -- Activism and Lobbying Government and Politics -- Federal - State Issues Law; Crime and Justice -- Judges and Legal Profession,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1836477.htm,http://trove.nla.gov.au/version/205252130
Bush warns of firm response to Iranian attacks on US troops,Kim Landers (Reporter); Eleanor Hall,2007-01-30,ABC Radio. The World Today,And staying overseas US President George W Bush is insisting he has no intention of invading Iran But he is signalling that hell respond firmly if US troops are attacked by Iranian nationals in Ir,Joshua Stein; Victor Dominguez; Tony Snow; US; Iran; Iraq; Sean McCormack; Michael Hayden; Najaf; Government and Politics -- World Politics Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1836444.htm,http://trove.nla.gov.au/version/205252132
Mining industry denies claims of unfair Indigenous land use agreements,Louise Willis (Reporter); Eleanor Hall,2007-01-30,ABC Radio. The World Today,The mining industry has hit back at claims that its trampling on the rights of Indigenous Australians during native title negotiations A Griffith University study has found that nearly half of the,Michael Roche;  land use agreements;  Indigenous people;  mining;  Ciaran O'Faircheallaigh;  Queensland's Griffith University;  native title negotiations;  Mitch Hooke;  Minerals Council;  Rio Tinto Aluminium;  Century Mine; Business;  Economics and Finance -- Trade -- Agreements and Treaties Community and Society -- Indigenous (Other Peoples) Environment -- Mining Law; Crime and Justice -- Rights -- Native Title,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1836424.htm,http://trove.nla.gov.au/version/205252129
UK Muslim youth alienated by multiculturalism: report,Stephanie Kennedy (Reporter); Eleanor Hall,2007-01-30,ABC Radio. The World Today,Concern about the radicalisation of young Muslims in Britain has been rising since the London bombings Now a new report paints a bleak picture of a generation of young Muslims who want to live under,Sharia; Munira Mirza; David Cameron; Muslim; multiculturalism; Community and Society -- Religion and Beliefs Government and Politics -- Social Policy,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1836453.htm,http://trove.nla.gov.au/version/205252134
Victorian politicians disagree over Premiers rejection of recycled waste water,Daniel Hoare (Reporter); Eleanor Hall,2007-01-30,ABC Radio. The World Today,The Victorian Premier Steve Bracks has rejected using recycled waste water for drinking but some of his colleagues arent ruling out the prospect With stage four water restrictions in place across,Steve Bracks; Tarago Reservoir; Steve Gibbons; Wimmera; Gavan O'Connor; wastewater; Environment -- Water Government and Politics -- Federal - State Issues,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1836434.htm,http://trove.nla.gov.au/version/205252131
"Iran's claims are exaggerated, says expert",Eleanor Hall (Reporter); Eleanor Hall,2007-01-30,ABC Radio. The World Today,So as it deals with the military challenge how worried should the Bush administration be about that declaration from Iran that it plans to assume major responsibility for economic reconstruction in I,Anthony Cordesman; Iran; Iraq; Center for Strategic and International Studies; Government and Politics -- World Politics Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1836450.htm,http://trove.nla.gov.au/version/205252133
Interest rate rise continues to slow economy: survey,Peter Ryan (Reporter); Eleanor Hall,2007-01-30,ABC Radio. The World Today,Back home now and the latest business survey in Australia suggests that the impact of last years three interest rate rises is continuing to slow the economy A business conditions index by the Natio,James McKinlay; National Australia Bank; Reserve Bank; CPI; GDP; Business; Economics and Finance -- Economic Trends,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1836459.htm,http://trove.nla.gov.au/version/205252136
Pub atmosphere attracts men to antenatal classes,Sabra Lane (Reporter); Eleanor Hall,2007-01-30,ABC Radio. The World Today,Holding antenatal classes on what to expect when youre expecting is nothing unusual But when the venue is the local pub with the occasional ale encouraged and a counter-meal during intermission ch,antenatal class; Lucy Perry; pub; baby; pregnancy; Andy Springer; Health -- Reproduction and Contraception -- Pregnancy and Childbirth,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1836464.htm,http://trove.nla.gov.au/version/205252138
West Saharans fight for independence,Andrew Geoghegan (Reporter); Eleanor Hall,2007-01-30,ABC Radio. The World Today,Its a remote desolate land that much of the world has forgotten But the people of Western Sahara are risking bloodshed by demanding independence Western Sahara was annexed by Morocco 30-years ago,Saharawi; Morocco; Western Sahara; Ali Salem Tamek; Oubi Bachir; UN; Tseliso Thipanyane; Government and Politics -- Social Policy Government and Politics -- States and Territories,Australian Broadcasting Corporation,Copyright 2007 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2007/s1836457.htm,http://trove.nla.gov.au/version/205252135
