title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Controversial ammonia plant open,Suzanne Hill (Reporter); Brendan Trembath,2012-01-03,ABC Radio. PM,Oricas problem plagued ammonia plant near Newcastle has opened for the first time since a shut down four months ago,Orica;  Barry O'Farrell;  ammonia;  hexavelent chromium;  Newcastle;  Stockton;  Kooragang Island; Business; Economics and Finance -- Industry Environment -- Pollution,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3401489.htm,http://trove.nla.gov.au/version/204849844
Questions over Republican frontrunners,Lisa Millar (Reporter); Brendan Trembath,2012-01-03,ABC Radio. PM,On the eve of the Iowa caucuses in the US there are question marks over how many socially conservative Republicans will turn out for Rick Santorum the former Pennsylvania senator who has received a l,US election;  Republicans;  Iowa;  Rick Santorum;  Mitt Romney;  Mitt Romney;  Joyce Larson;  candidates; Government and Politics -- World Politics,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3401494.htm,http://trove.nla.gov.au/version/204849846
Vic fire threat as heatwave continues,Alison Caldwell (Reporter); Brendan Trembath,2012-01-03,ABC Radio. PM,In Victoria emergency services are remaining on high alert with high temperatures still being recorded in parts of the state with dry lightning predicted this evening A cool change is not expected,Heatwave;  bushfire;  Craig Lapsley;  Sunbury;  blackouts;  Dr Kevin Tolhurst;  remote switching; Weather -- Phenomena,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3401496.htm,http://trove.nla.gov.au/version/204849848
Container deposit scheme starts in NT: but will it go national,Michael Coggan (Reporter); Brendan Trembath,2012-01-03,ABC Radio. PM,Kids clubs and pubs in the Northern Territory can now earn ten cents for every can or bottle they recycle and theres a push to introduce national container deposit legislation But the Food and Gro,container deposit legislation;  northern territory;  south australia;  paul henderson;  scott ludlam;  coca cola amatil;  food and grocery council; Environment -- Recycling and Waste Management Government and Politics -- States and Territories,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3401538.htm,http://trove.nla.gov.au/version/204849850
Vets warn of rabies epidemic,Hagar Cohen (Reporter); Brendan Trembath,2012-01-03,ABC Radio. PM,Vets in the Top End warn the deadly rabies disease could spread into Australia Its already reached epidemic proportions in Indonesia and there are concerns illegal fishing boats are carrying sick do,Rabies;  dogs;  Janice Girardi;  AMRRIC;  Jan Allen;  indigenous communities;  Northern Territory;  animal welfare;  Bali;  Indonesia;  illegal fishing; Health -- Diseases and Disorders,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3401500.htm,http://trove.nla.gov.au/version/204849852
Hybrid shark discovery,Dubravka Voloder (Reporter); Brendan Trembath,2012-01-03,ABC Radio. PM,Australian marine biologists have discovered the worlds first hybrid sharks off the east coast The sharks are a cross between two related but genetically different species,sharks;  marine biology;  fishery;  discovery;  hybrids; Science and Technology -- Biology -- Marine Biology,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3401540.htm,http://trove.nla.gov.au/version/204849854
Police charge man after girl dies in outback tragedy,David Weber (Reporter); Brendan Trembath,2012-01-04,ABC Radio. PM,Police in Western Australia have charged a man after an eight-year-old girl died in the Gibson Desert A 38-year-old man had taken the girl on a hunting trip on New Years Eve They were found yesterd,Bill Munnee;  Augustine Miller; Community and Society -- Death Law; Crime and Justice -- Crime,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3402127.htm,http://trove.nla.gov.au/version/204849834
Romney and Santorum lead in close Iowa race,Lisa Millar (Reporter); Brendan Trembath,2012-01-04,ABC Radio. PM,Republican Party candidates who hope to be the next US president have completed their first big test Voting has closed at caucus precincts in the mid west state of Iowa Early results show Mitt Romne,US politics;  presidency;  Republicans;  GOP;  Mitt Romney;  Rick Santorum;  Ron Paul; ; Government and Politics -- Foreign Affairs Government and Politics -- World Politics,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3402124.htm,http://trove.nla.gov.au/version/204849833
Psychiatric escapee highlights systematic problems within NSW authorities,Hagar Cohen (Reporter); Brendan Trembath,2012-01-04,ABC Radio. PM,A leading psychiatrist says the confusion of a runaway patient is a result of systematic problems within NSW Health Trent Jennings was charged with kidnapping and robbery after five days on the run,Trent Jennings;  Michael Robertson;  Mark Murdoch;  NSW Health;  psychiatry;  escapee;  mental health;  tribunal;  kidnapping;  robbery; Health -- Mental Health Law;  Crime and Justice -- Crime Law; Crime and Justice -- Police,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3402123.htm,http://trove.nla.gov.au/version/204849836
2011 Australia's third wettest year on record,Nance Haxton (Reporter); Brendan Trembath,2012-01-04,ABC Radio. PM,The Bureau of Meteorologys annual climate statement shows last year was Australias wettest year since the 1970s That was largely due to the influence of the La Nina pattern across the east coast,La Nina;  Bureau of Meteorology; Weather,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3402131.htm,http://trove.nla.gov.au/version/204849838
"A small step for Saudi Arabia, a giant step for the Kingdom's women",Mary Ann Jolley (Reporter); Brendan Trembath,2012-01-04,ABC Radio. PM,Saudi Arabian women believe a new law banning men from serving in lingerie shops is a significant victory in their campaign for human rights giving them the opportunity to join the workforce,Saudi Arabia;  women;  human rights;  lingerie; Community and Society -- Women Law; Crime and Justice -- Rights -- Human,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3402132.htm,http://trove.nla.gov.au/version/204849840
Ponting's 40th century proves detractors wrong,Alison Caldwell (Reporter); Brendan Trembath,2012-01-04,ABC Radio. PM,Former Australian cricket captain Ricky Ponting has scored his 40th test century at the SCG Commentators say the tonne has bought Ponting some much needed time,Ricky Ponting;  second test;  India;  Jim Maxwell;  test cricket;  century; Sport -- Cricket,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3402134.htm,http://trove.nla.gov.au/version/204849842
Hostage negotiators say video release of captive Australian is positive,Mary Ann Jolley (Reporter); Brendan Trembath,2012-01-05,ABC Radio. PM,A former FBI lead international kidnap negotiator says the video of Warren Rodwell is a positive sign possibly indicating the kidnappers are now serious about negotiating,Warren Rodwell;  kidnap;  Chris Voss;  MILF;  Abu Sayyaf; Law;  Crime and Justice -- Crime Law; Crime and Justice -- International Law,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3402795.htm,http://trove.nla.gov.au/version/204849827
"Republican race moves to New Hampshire, Romney leads",Brendan Trembath (Reporter); Brendan Trembath,2012-01-05,ABC Radio. PM,The remaining six Republican contenders in the race to win the partys presidential nomination have begun campaigning in New Hampshire in the north east In their first contest in the mid west state o,US politics;  Republican Party;  GOP;  Mitt Romney;  Rick Santorum;  Geoffrey Garret;  Barack Obama;  Iowa;  New Hampshire;  presidency; Business;  Economics and Finance -- Economic Trends Business;  Economics and Finance -- Money and Monetary Policy Government and Politics -- World Politics Person -- Obama; Barack,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3402797.htm,http://trove.nla.gov.au/version/204849828
Taliban plans for office in Qatar,Suzanne Hill (Reporter); Brendan Trembath,2012-01-05,ABC Radio. PM,Australian terrorism experts are sceptical that the opening of a Taliban office in Qatar will lead to successful peace negotiations over Afghanistan,Taliban;  Clive Williams;  Raspal Khosa;  Afghanistan;  Obama;  Pakistan;  Qatar; Community and Society -- Religion and Beliefs -- Islam Community and Society -- Women Government and Politics -- World Politics Unrest; Conflict and War -- Terrorism,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3402798.htm,http://trove.nla.gov.au/version/204849829
Hendra rears its head in North Queensland,Matt Wordsworth (Reporter); Brendan Trembath,2012-01-05,ABC Radio. PM,A property south of Townsville has been quarantined in the latest outbreak of Hendra Virus One horse is dead and four people are being tested But authorities believe their exposure has been minimal,Hendra Virus;  Rick Symons;  Biosecurity Queensland;  Dr Jeannette Young;  Trevor Hyatt;  Clive Cook; Health -- Diseases and Disorders -- Hendra Virus Infection Human Interest -- Animals Sport -- Horse Racing,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3402799.htm,http://trove.nla.gov.au/version/204849830
Controversy over proposed national bullying laws,Hagar Cohen (Reporter); Brendan Trembath,2012-01-05,ABC Radio. PM,A proposed national code about bullying in the workplace has sparked controversy The unions say the code is too lenient while employer groups say the code targets business unfairly,Garry Bracks;  Australian Federation of employers and industries;  Ged Kearney;  ACTU;  Unions;  employment;  industrial relations;  bullying;  harassment; Education -- Bullying Education -- Schools Law; Crime and Justice -- Laws,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3402800.htm,http://trove.nla.gov.au/version/204849831
Captain's triple century gives Australia hope of cricket test win,Alison Caldwell (Reporter); Brendan Trembath,2012-01-05,ABC Radio. PM,The Australian Cricket test captain Michael Clarke has recorded 329 not out which is the highest score at the Sydney Cricket Ground Clarke could have continued to bat in an attempt to give Austra,Michael Clarke;  Test;  India;  Bob Simpson;  Mark Taylor;  Malcolm Conn; Sport -- Cricket,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3402802.htm,http://trove.nla.gov.au/version/204849832
Allegations of brutality in death in police cell,Michael Coggan (Reporter); Brendan Trembath,2012-01-06,ABC Radio. PM,The family of a 28-year-old Aboriginal man who died in police custody in Alice Springs are alleging the man was beaten by police The mans aunt is calling for an investigation independent of police,aboriginal death in custody;  patricia morton-thomas;  terrence daniel briscoe;  vince kelly; Community and Society -- Indigenous (Aboriginal and Torres Strait Islander) -- Black Deaths In Custody,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3403365.htm,http://trove.nla.gov.au/version/204849821
Aboriginal child protection system in crisis,Mary Ann Jolley (Reporter); Brendan Trembath,2012-01-06,ABC Radio. PM,Indigenous leaders say the tragic death of a young Aboriginal girl in the Western Australian desert is indicative of a broken child protection system that needs to start putting the interests of the c,aboriginal child protection;  Warren Mundine;  Professor Muriel Bamblett;  Tjirrkarli community; Community and Society -- Family and Children -- Children Community and Society -- Indigenous (Aboriginal and Torres Strait Islander),Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/pm/content/2012/s3403366.htm,http://trove.nla.gov.au/version/204849822
