title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Cabinet documents reveal economic turmoil of 1980s,Naomi Woodley (Reporter); Peter Cave,2012-01-02,ABC Radio. AM,The National Archives has released cabinet documents from the last months of Malcolm Frasers Coalition government and the first period of Bob Hawkes Labor administration The documents from 1982 and,archives;  cabinet;  Malcolm Fraser;  Bob Hawke;  federal politics;  economy;  unemployment;  drought;  Americas Cup;  election;  National Archives; Government and Politics,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2011/s3400565.htm,http://trove.nla.gov.au/version/204826905
Hawke: 1983 National Economic Summit established success,Naomi Woodley (Reporter); Peter Cave,2012-01-02,ABC Radio. AM,The former prime minister Bob Hawke says his governments success flowed from the National Economic Summit held within his first months in office The National Archive has released cabinet documents f,Bob Hawke;  federal politics;  cabinet;  National Archive;  economy;  deficit;  dollar;  ASIO;  David Combe;  KGB;  Franklin Dam;  Americas Cup; Government and Politics Government and Politics -- Federal Government,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2011/s3400566.htm,http://trove.nla.gov.au/version/204826907
New staff-child ratios for childcare operators,Timothy McDonald (Reporter); Peter Cave,2012-01-02,ABC Radio. AM,From now on childcare centres must have one staff member for every four children they look after The move is expected to lead to higher prices for parents but one advocacy group says there will onl,child care;  Early Childhood Australia;  Australian Childcare Alliance;  children; Community and Society Community and Society -- Family and Children Community and Society -- Family and Children -- Child Care,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2011/s3400564.htm,http://trove.nla.gov.au/version/204826909
Arab Parliament calls for monitors to leave Syria,Brendan Trembath (Reporter); Peter Cave,2012-01-02,ABC Radio. AM,An influential voice in the Arab world has called for the withdrawal of observers sent to Syria to monitor a peace plan The speaker of the Arab Parliament Salem al-Diqbassi argues that their presence,Syria;  Yaser Tabbara;  Syrian National Council;  Salem al-Diqbassi;  brutality;  violence;  protests;  Middle East; Government and Politics Government and Politics -- Foreign Affairs Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2011/s3400607.htm,http://trove.nla.gov.au/version/204826911
Chinese marriage sets example for west,Matt Wordsworth (Reporter); Peter Cave,2012-01-02,ABC Radio. AM,Researchers in Queensland say the approach taken in China to relationships could lay the right foundation for a lasting marriage The countrys divorce rate is about one-third of that of Australias,China;  marriage;  relationships;  Danika Hiew;  university of Queensland;  research; Community and Society Community and Society -- Family and Children Community and Society -- Family and Children -- Divorce Community and Society -- Family and Children -- Marriage,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2011/s3400568.htm,http://trove.nla.gov.au/version/204826913
John Howard hand-picked by Queen for rare honour,Adam Harvey (Reporter); Peter Cave,2012-01-02,ABC Radio. AM,John Howard has been appointed to the Order of Merit an honour limited to only 24 living individuals at any one time Members are chosen by the Queen in recognition of exceptional distinction in th,John Howard;  Queen Elizabeth;  Order of Merit;  honours; Government and Politics Government and Politics -- Federal Government Human Interest Human Interest -- Royal and Imperial Matters,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2011/s3400567.htm,http://trove.nla.gov.au/version/204826908
Ten quakes hit Christchurch since midnight,Alison Caldwell (Reporter); Peter Cave,2012-01-02,ABC Radio. AM,In New Zealand the new year has begun with a series of earthquakes recorded since midnight and centred east or north east of Christchurch The largest quake measured 5 5 and was actually two shocks,Christchurch;  earthquake;  tremors;  psychological damage;  Mayor Bob Parker; Disasters and Accidents Disasters and Accidents -- Earthquake,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2011/s3400606.htm,http://trove.nla.gov.au/version/204826910
Euro faces uncertain future on 10th birthday,Michael Janda (Reporter); Peter Cave,2012-01-02,ABC Radio. AM,Ten years after euro notes and coins entered circulation the common currency faces an uncertain future as many members struggle to reduce their large debt burdens Some analysts are predicting a subs,euro;  finance;  crisis;  currency;  angela merkel;  dollar; Business; Economics and Finance,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2011/s3400578.htm,http://trove.nla.gov.au/version/204826912
Illegal betting hurdle for London Olympics,David Taylor (Reporter); Peter Cave,2012-01-02,ABC Radio. AM,This year will see London host the 2012 Olympic Games Organisers though are worried match fixing will hurt the credibility of one of the worlds largest sporting events In a year expected to provide,Lord Coe;  Hugh Robertson;  Olympics Minister;  Zac Purchase;  olympics;  gold medalist;  London 2012;  Britain;  Europe;  debt crsis;  Scotland Yard; Sport Sport -- Olympics (Summer) Sport -- Olympics (Summer) -- Venues,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2011/s3400632.htm,http://trove.nla.gov.au/version/204826914
Last dash for Iowa primary,Lisa Millar (Reporter); Peter Cave,2012-01-03,ABC Radio. AM,In Iowa the Republican candidates are making a frenetic last dash around the state in a bid to woo voters ahead of the first major test of the presidential nomination contest The opinion polls put M,Iowa;  Des Moines;  Republican primaries;  Mitt Romney;  Ron Paul; Government and Politics -- World Politics,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2011/s3401059.htm,http://trove.nla.gov.au/version/204826897
Defectors sceptical over Fiji changes,Simon Lauder (Reporter); Peter Cave,2012-01-03,ABC Radio. AM,Fijis leader Commodore Frank Bainimarama has lifted the draconian regulations he brought in after he took control in 2006 But defectors from the regime say it wont make any difference because the g,Fiji;  Commodore Frank Bainimarama;  Suva;  Lieutenant Colonel Tevita Mara;  Jone Baledrokadroka; Business;  Economics and Finance -- International Aid and Trade Government and Politics -- World Politics Law;  Crime and Justice -- International Law Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2012 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2011/s3401061.htm,http://trove.nla.gov.au/version/204826899
