title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Bush looks toward domestic issues in new term,Leigh Sales (Reporter); Karen Percy,2005-01-17,ABC Radio. The World Today,This Friday the US President George W Bush will be sworn in to his second term in office While the Bush Administrations first term was dominated by foreign policy the President wants to give mor,George W. Bush;  Congress;  social security reform; Defence and National Security Government and Politics -- World Politics,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2005/s1283260.htm,http://trove.nla.gov.au/version/205247109
US steps up military negotiations with Indonesia,Rafael Epstein (Reporter); Karen Percy,2005-01-17,ABC Radio. The World Today,With the White House starting to talk about closer military ties with Indonesia the US military is planning to step-up official negotiations between the two countries US Deputy Defence Secretary Pau,Paul Wolfowitz;  Thomas Fargo;  Endriartono Sutarto;  Aceh; Defence and National Security Government and Politics -- World Politics Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2005/s1283259.htm,http://trove.nla.gov.au/version/205247108
Russian children suffer with spread of HIV/AIDS,Emma Griffiths (Reporter); Karen Percy,2005-01-17,ABC Radio. The World Today,This week well take a look at the state of affairs of children in post-Soviet Russia Well look at the hundreds of thousands of children who live on the streets and those who live in institutions W,Tigran Yepoyan;  UNICEF;  Yulia Vladskya;  Alexei Mazus; ; Community and Society -- Family and Children -- Babies Community and Society -- Family and Children -- Children Health -- Child Health and Behaviour Health -- Diseases and Disorders -- Aids and HIV,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2005/s1283276.htm,http://trove.nla.gov.au/version/205247111
Qantas defends off shore plans,Stephen Long (Reporter); Karen Percy,2005-01-17,ABC Radio. The World Today,From politics to industrial relations now and unions are raising safety concerns about a threat by Qantas to shift thousands of jobs off shore Qantas boss Geoff Dixon has told the ABC the company,Geoff Dixon;  Qantas;  Tim Ayers;  Michael Migitov; Business;  Economics and Finance -- Company News Business;  Economics and Finance -- Industry -- Tourism Business;  Economics and Finance -- Industry -- Transport Business; Economics and Finance -- Management,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2005/s1283269.htm,http://trove.nla.gov.au/version/205247110
Iraqi exiles in Australia make registration history,Peta Donald (Reporter); Karen Percy,2005-01-17,ABC Radio. The World Today,A Kurdish woman in her late sixties living in Sydneys south-west has become the first person in the world outside of Iraq to register to vote in Iraqs historic election to be held at the end of this,Nassima Barzani;  Iraq;  Auburn;  Fkri Barzani;  Saddam Hussein;  Mohammad Hussein Al Ansari;  Bernie Hogan;  Kasim Abood; ; Government and Politics -- Elections Government and Politics -- World Politics Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2005/s1283290.htm,http://trove.nla.gov.au/version/205247112
Returning police officers recall tsunami tragedy,Kerri Ritchie (Reporter); Karen Percy,2005-01-17,ABC Radio. The World Today,Australian police officers who this morning returned from Thailand say the devastation they saw there will stay with them forever 16 officers have flown home after working in Phuket for three week,Tsunami;  Thailand;  Phuket;  Wayne Martin;  Malcolm Horton;  Phil Heard; Defence and National Security Disasters and Accidents -- Emergency Planning Disasters and Accidents -- Tidal Wave Law; Crime and Justice -- Police,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2005/s1283297.htm,http://trove.nla.gov.au/version/205247113
Local aid groups struggle in Sri Lanka,Gillian Bradford (Reporter); Karen Percy,2005-01-17,ABC Radio. The World Today,In Sri Lanka local aid agencies say theyre being pushed aside by the dozens of international organisations which have set up operations there While theres plenty of work to go around the small gr,Dr Kumar Rupesinghe;  Foundation for Co-existence; ; Community and Society -- Charities and Community Organisations Community and Society -- Community Organisations Disasters and Accidents -- Emergency Planning Disasters and Accidents -- Relief and Aid Organisations,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2005/s1283312.htm,http://trove.nla.gov.au/version/205247115
ANZAC field hospital opens in Banda Aceh,John Taylor (Reporter); Karen Percy,2005-01-17,ABC Radio. The World Today,Well the Australian military has been providing humanitarian assistance to the people of Indonesias stricken Aceh province About 1000 personnel are in the region as part of Operation Tsunami Assist,Elizabeth Christie;  Banda Aceh;  ANZAC field hospital;  Darren Bale; ; Defence and National Security Disasters and Accidents -- Emergency Planning Disasters and Accidents -- Tidal Wave Health -- Healthcare Facilities,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2005/s1283310.htm,http://trove.nla.gov.au/version/205247114
Fosters launches Southcorp take-over bid,Stephen Long (Reporter); Karen Percy,2005-01-17,ABC Radio. The World Today,Now to the latest development in a story brewing over the last weeks The beer and wine company Fosters has today launched a hostile $3 1 billion takeover bid for Southcorp maker of the famous Penfol,Fosters;  Southcorp;  Bob Oatley;  Rosemount; ; Business;  Economics and Finance -- Company News Business;  Economics and Finance -- Management Business; Economics and Finance -- Takeovers,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2005/s1283313.htm,http://trove.nla.gov.au/version/205247116
Boring summer arrives early in parts of Oueensland,Ian Townsend (Reporter); Karen Percy,2005-01-17,ABC Radio. The World Today,For the towns and sprawling cattle stations in Queenslands Gulf of Carpentaria summer means mosquitos crocodiles heat floods and months of isolation Boredom is the biggest problem during the no,Gulf of Carpentaria;  Doomadgee;  Jim Floyd;  James Batey;  Burketown; Community and Society -- Regional Weather,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2005/s1283317.htm,http://trove.nla.gov.au/version/205247117
Qld Premier Beattie weighs in on Latham's leadership,Karen Percy,2005-01-17,ABC Radio. The World Today,Now to the question of Mark Lathams leadership of the Labor party amid speculation within the ALP that Mr Latham may step down - possibly this week The ongoing speculation is frustrating Labor stat,Mark Latham;  ALP;  Peter Beattie; Government and Politics -- Federal Government Government and Politics -- Political Parties -- Alp Government and Politics -- States and Territories,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/worldtoday/content/2005/s1283319.htm,http://trove.nla.gov.au/version/205247119
