title,contributor,date,isPartOf,abstract,subject,publisher,rights,url,troveUrl
Baghdad bomb blast on NYE kills 8 people,Mark Willacy (Reporter); David Hardaker,2004-01-02,ABC Radio. AM Archive,First this morning its been a bloody beginning to the New Year in Baghdad Iraqi police are still picking through the wreckage from a car bomb which killed eight people at a restaurant crowded with,baghdad;  car bomb;  saddam hussein; ; Unrest;  Conflict and War Unrest; Conflict and War -- Terrorism,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2004/s1019177.htm,http://trove.nla.gov.au/version/205220405
Arrests follow Parmalat collapse,Fran Kelly (Reporter); David Hardaker,2004-01-02,ABC Radio. AM Archive,Its shaping as Europes Enron and this morning the shockwaves from the collapse of the Italian food giant Parmalat continue to ripple though the worlds financial community Two senior partners fr,parmalat;  grant thornton international;  calisto tanzi;  umberto mosetti;  wolfgang munchau; Business;  Economics and Finance -- Company News Business;  Economics and Finance -- Consumer Protection Law; Crime and Justice -- Fraud and Corporate Crime,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2004/s1019317.htm,http://trove.nla.gov.au/version/205220407
Iraqis turn their backs on 'Saddam',Mark Willacy (Reporter); David Hardaker,2004-01-02,ABC Radio. AM Archive,Its the perennial question whats in a name? Well quite a bit if it happens to be Saddam Hussein With the Iraqi dictator no longer flavour of the month so to speak some are now freeing themselv,saddam hussein;  names; ; Unrest; Conflict and War,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2004/s1019312.htm,http://trove.nla.gov.au/version/205220406
China on SARS alert,Ian Townsend (Reporter); David Hardaker,2004-01-02,ABC Radio. AM Archive,Doctors in China should know in the next few days if they have another outbreak of SARS on their hands The World Health Organisation says tests on a sick man in southern China have produced inconsist,SARS;  WHO;  julie hall; Health -- Diseases and Disorders -- SARS,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2004/s1019335.htm,http://trove.nla.gov.au/version/205220408
Tasmania recognises gay relationships,Anne Barker (Reporter); David Hardaker,2004-01-02,ABC Radio. AM Archive,10 years ago Tasmania had the most restrictive laws on homosexuality in Australia It was the last state to decriminalise homosexuality and the United Nations had declared its laws to be in breach of,gay couples;  michael carnes;  bob lavis;  rodney croome; Community and Society -- Gays and Lesbians Law; Crime and Justice -- Rights,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2004/s1019343.htm,http://trove.nla.gov.au/version/205220409
Election excitement in 2004,Ross Solly (Reporter); David Hardaker,2004-01-02,ABC Radio. AM Archive,To Canberra now and 2004 – its the kind of year when it is great to be a Canberran Politicians bureaucrats lobbyists not to mention journalists will be revving up for a Federal election with m,mark latham;  john howard;  dean jaensch;  peter hendy; Government and Politics -- Elections Government and Politics -- Political Parties -- Alp,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2004/s1019356.htm,http://trove.nla.gov.au/version/205220411
Steve Waugh's last Test match,Rafael Epstein (Reporter); David Hardaker,2004-01-02,ABC Radio. AM Archive,This morning marks the final act in the remarkable career of the man who never gives up Australias cricket captain Steve Waugh is preparing to stride onto the Sydney Cricket Ground for his last Te,steve waugh;  test match;  ricky ponting;  jim maxwell; Sport -- Cricket,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2004/s1019373.htm,http://trove.nla.gov.au/version/205220413
SA gay law reform behind the times,Nance Haxton (Reporter); David Hardaker,2004-01-02,ABC Radio. AM Archive,And while Tasmania might now be leading the way in homosexual law reform its a different story in South Australia An audit by the Equal Opportunity Commission three years ago identified 54 pieces,gay law reform;  let's get equal;  matthew loader; Community and Society -- Gays and Lesbians Law; Crime and Justice -- Rights,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2004/s1019351.htm,http://trove.nla.gov.au/version/205220410
Australians incurring rising levels of debt,Stephen Long (Reporter); David Hardaker,2004-01-02,ABC Radio. AM Archive,Now a question to ponder after the Christmas binge Are Australians in love with debt? The latest figures from the Reserve Bank would suggest we are The figures show that credit provided by banks and,debt;  credit cards;  interest rates;  craig james;  catherine wolthuizen; ; Business; Economics and Finance -- Consumer Finance,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2004/s1019366.htm,http://trove.nla.gov.au/version/205220412
States meet over gas crisis,Michael Vincent (Reporter); David Hardaker,2004-01-05,ABC Radio. AM Archive,With restrictions on gas usage now across two States theres a dispute now over how long the South Australian gas crisis could last with the South Australian Government and the gas producer Santos,John Ellice-Flint;  gas;  restrictions;  Patrick Conlon;  santos;  moomba gas plant;  mark gell;  timothy cooper; Business; Economics and Finance -- Industry -- Electricity Energy and Utilities Environment -- Alternative Energy Government and Politics -- Public Sector Government and Politics -- States and Territories,Australian Broadcasting Corporation,Copyright 2005 Australian Broadcasting Corporation. Other rights may be held as detailed in text. http://www.abc.net.au/conditions.htm#UseOfContent,http://www.abc.net.au/am/content/2004/s1020294.htm,http://trove.nla.gov.au/version/205220397
